"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1979M01";"Konsumprisindeks (2015=100)";25,3
"TOTAL Totalindeks";"1979M01";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1979M01";"12-måneders endring (prosent)";5,9
"TOTAL Totalindeks";"1979M02";"Konsumprisindeks (2015=100)";25,4
"TOTAL Totalindeks";"1979M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1979M02";"12-måneders endring (prosent)";5,8
"TOTAL Totalindeks";"1979M03";"Konsumprisindeks (2015=100)";25,5
"TOTAL Totalindeks";"1979M03";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1979M03";"12-måneders endring (prosent)";4,9
"TOTAL Totalindeks";"1979M04";"Konsumprisindeks (2015=100)";25,6
"TOTAL Totalindeks";"1979M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1979M04";"12-måneders endring (prosent)";4,9
"TOTAL Totalindeks";"1979M05";"Konsumprisindeks (2015=100)";25,7
"TOTAL Totalindeks";"1979M05";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1979M05";"12-måneders endring (prosent)";5,3
"TOTAL Totalindeks";"1979M06";"Konsumprisindeks (2015=100)";25,8
"TOTAL Totalindeks";"1979M06";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1979M06";"12-måneders endring (prosent)";4,9
"TOTAL Totalindeks";"1979M07";"Konsumprisindeks (2015=100)";26
"TOTAL Totalindeks";"1979M07";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1979M07";"12-måneders endring (prosent)";4,4
"TOTAL Totalindeks";"1979M08";"Konsumprisindeks (2015=100)";26
"TOTAL Totalindeks";"1979M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1979M08";"12-måneders endring (prosent)";4,4
"TOTAL Totalindeks";"1979M09";"Konsumprisindeks (2015=100)";26,1
"TOTAL Totalindeks";"1979M09";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1979M09";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"1979M10";"Konsumprisindeks (2015=100)";26,3
"TOTAL Totalindeks";"1979M10";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1979M10";"12-måneders endring (prosent)";4
"TOTAL Totalindeks";"1979M11";"Konsumprisindeks (2015=100)";26,5
"TOTAL Totalindeks";"1979M11";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"1979M11";"12-måneders endring (prosent)";4,7
"TOTAL Totalindeks";"1979M12";"Konsumprisindeks (2015=100)";26,5
"TOTAL Totalindeks";"1979M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1979M12";"12-måneders endring (prosent)";4,7
"TOTAL Totalindeks";"1980M01";"Konsumprisindeks (2015=100)";26,9
"TOTAL Totalindeks";"1980M01";"Månedsendring (prosent)";1,5
"TOTAL Totalindeks";"1980M01";"12-måneders endring (prosent)";6,3
"TOTAL Totalindeks";"1980M02";"Konsumprisindeks (2015=100)";27,4
"TOTAL Totalindeks";"1980M02";"Månedsendring (prosent)";1,9
"TOTAL Totalindeks";"1980M02";"12-måneders endring (prosent)";7,9
