dato,DKK,GBP
2020-04-01,150.97,12.7385
2020-04-02,150.47,12.8046
2020-04-03,150.8,12.8205
2020-04-06,152.52,12.9698
2020-04-07,148.57,12.5941
2020-04-08,149.97,12.728
2020-04-14,151.59,12.9644
2020-04-15,153.41,13.1033
2020-04-16,152.97,13.0956
2020-04-17,151.26,12.974
2020-04-20,151.1,12.9029
2020-04-21,153.98,13.0326
2020-04-22,156.56,13.282
2020-04-23,154.42,13.207
2020-04-24,153.91,13.1186
2020-04-27,153.52,13.1227
2020-04-28,151.24,12.952
2020-04-29,151.17,12.9012
2020-04-30,149.95,12.8692
2020-05-04,151.81,12.8877
2020-05-05,149.75,12.8337
2020-05-06,148.62,12.7102
2020-05-07,147.99,12.6209
2020-05-08,148.39,12.6458
2020-05-11,148.08,12.5701
2020-05-12,148.19,12.5913
2020-05-13,146.71,12.395
2020-05-14,148.31,12.4977
2020-05-15,148.26,12.4601
2020-05-18,147.1,12.3005
2020-05-19,146.39,12.1911
2020-05-20,145.87,12.1718
2020-05-22,146.26,12.1789
2020-05-25,146.66,12.2167
2020-05-26,146.12,12.2576
2020-05-27,145.18,12.0858
2020-05-28,145.62,12.098
2020-05-29,144.72,11.975
2020-06-02,143.27,11.9886
2020-06-03,143.23,11.9887
2020-06-04,142.24,11.8245
2020-06-05,141.36,11.7837
2020-06-08,140.3,11.7303
2020-06-09,141.37,11.8288
2020-06-10,141.35,11.8457
2020-06-11,143.8,11.9556
2020-06-12,145.5,12.0994
2020-06-15,146.05,12.1468
2020-06-16,144.03,12.0162
2020-06-17,143.58,11.9678
2020-06-18,143.63,11.8944
2020-06-19,143.7,11.8375
2020-06-22,144.86,11.9548
2020-06-23,144.02,11.8443
2020-06-24,144.85,11.9498
2020-06-25,145.9,12.0653
2020-06-26,146.06,12.0177
2020-06-29,146.27,11.9088
2020-06-30,146.42,11.9593
2020-07-01,144.56,11.9137
2020-07-02,143.44,11.8452
2020-07-03,143.29,11.8481
2020-07-06,142.54,11.7361
2020-07-07,142.81,11.8057
2020-07-08,143.48,11.8863
2020-07-09,142.51,11.8424
2020-07-10,143.88,11.9642
2020-07-13,143.25,11.8582
2020-07-14,143.87,11.7991
2020-07-15,142.72,11.7379
2020-07-16,142.57,11.6807
2020-07-17,142.36,11.6378
2020-07-20,142.4,11.7096
2020-07-21,140.95,11.6521
2020-07-22,141.51,11.5605
2020-07-23,142.52,11.6314
2020-07-24,143.68,11.755
2020-07-27,143.32,11.6798
2020-07-28,143.68,11.7558
2020-07-29,143.19,11.791
2020-07-30,144.05,11.8772
2020-07-31,144.17,11.9178
2020-08-03,143.94,11.9081
2020-08-04,144.46,11.9077
2020-08-05,143.05,11.808
2020-08-06,143.0,11.8332
2020-08-07,142.9,11.7771
2020-08-10,142.71,11.7897
2020-08-11,141.88,11.7603
2020-08-12,141.61,11.6566
2020-08-13,141.19,11.6349
2020-08-14,141.54,11.689
2020-08-17,141.16,11.5994
2020-08-18,141.02,11.6194
2020-08-19,141.64,11.6725
2020-08-20,142.47,11.7627
2020-08-21,142.28,11.8002
2020-08-24,142.66,11.7758
2020-08-25,142.01,11.7503
2020-08-26,141.87,11.7742
2020-08-27,141.31,11.7511
2020-08-28,140.65,11.7025
2020-08-31,140.45,11.6679
2020-09-01,140.23,11.7312
2020-09-02,139.84,11.7132
2020-09-03,141.55,11.8152
2020-09-04,142.16,11.8408
2020-09-07,141.72,11.7385
2020-09-08,143.42,11.7976
2020-09-09,144.01,11.7472
2020-09-10,143.63,11.6683
2020-09-11,143.85,11.5821
2020-09-14,143.73,11.5992
2020-09-15,143.78,11.6144
2020-09-16,143.3,11.661
2020-09-17,144.14,11.7162
2020-09-18,144.53,11.7762
2020-09-21,146.27,11.8811
2020-09-22,147.18,11.9386
2020-09-23,147.71,11.9647
2020-09-24,149.17,12.1698
2020-09-25,149.66,12.2007
2020-09-28,148.51,12.2177
2020-09-29,148.46,12.1525
2020-09-30,149.08,12.1673
2020-10-01,146.56,12.0226
2020-10-02,146.53,12.0256
2020-10-05,146.31,11.9871
2020-10-06,145.96,11.9268
2020-10-07,146.88,11.9581
2020-10-08,146.51,11.9776
2020-10-09,145.96,11.9147
2020-10-12,145.0,11.9125
2020-10-13,145.0,11.9132
2020-10-14,145.38,11.9717
2020-10-15,147.36,12.1144
2020-10-16,147.23,12.0519
2020-10-19,147.12,12.0844
2020-10-20,147.39,12.0113
2020-10-21,146.87,12.0452
2020-10-22,146.92,12.1105
2020-10-23,146.73,12.0406
2020-10-26,147.11,12.0616
2020-10-27,145.68,11.9489
2020-10-28,147.37,12.0991
2020-10-29,149.73,12.3294
2020-10-30,148.98,12.2982
2020-11-02,149.26,12.3403
2020-11-03,147.86,12.228
2020-11-04,147.16,12.1821
2020-11-05,145.7,11.9956
2020-11-06,146.59,12.076
2020-11-09,143.81,11.8706
2020-11-10,143.22,11.955
2020-11-11,143.45,12.0057
2020-11-12,144.59,11.9933
2020-11-13,145.19,12.0561
2020-11-16,144.08,11.9474
2020-11-17,144.58,12.0202
2020-11-18,143.75,11.9852
2020-11-19,143.49,11.9604
2020-11-20,143.13,11.9263
2020-11-23,143.55,12.0267
2020-11-24,143.46,11.9948
2020-11-25,141.75,11.8354
2020-11-26,142.04,11.8598
2020-11-27,141.95,11.8099
2020-11-30,141.93,11.7547
2020-12-01,142.43,11.8074
2020-12-02,143.75,11.8248
2020-12-03,143.84,11.8495
2020-12-04,143.22,11.8072
2020-12-07,142.85,11.6569
2020-12-08,142.78,11.6611
2020-12-09,142.1,11.7514
2020-12-10,143.77,11.7453
2020-12-11,143.72,11.5899
2020-12-14,142.21,11.6685
2020-12-15,142.61,11.6901
2020-12-16,142.16,11.7608
2020-12-17,141.15,11.6619
2020-12-18,141.36,11.5783
2020-12-21,143.17,11.6273
2020-12-22,142.39,11.6226
2020-12-23,142.83,11.7131
2020-12-28,142.16,11.6929
2020-12-29,141.84,11.6109
2020-12-30,141.77,11.6791
2020-12-31,140.71,11.6462
2021-01-04,140.42,11.5839
2021-01-05,140.77,11.5919
2021-01-06,139.54,11.4536
2021-01-07,139.04,11.4686
2021-01-08,138.31,11.413
2021-01-11,139.41,11.49
2021-01-12,139.5,11.6016
2021-01-13,138.98,11.6191
2021-01-14,138.6,11.5926
2021-01-15,138.64,11.5885
2021-01-18,139.61,11.6599
2021-01-19,139.02,11.6075
2021-01-20,138.78,11.6561
2021-01-21,137.8,11.5671
2021-01-22,138.85,11.6018
2021-01-25,139.07,11.6529
2021-01-26,139.63,11.7109
2021-01-27,140.57,11.8282
2021-01-28,141.47,11.8738
2021-01-29,139.07,11.7025
2021-02-01,139.69,11.7789
2021-02-02,139.11,11.7471
2021-02-03,139.21,11.7466
2021-02-04,139.01,11.7889
2021-02-05,138.6,11.7741
2021-02-08,138.14,11.6955
2021-02-09,137.94,11.6806
2021-02-10,137.52,11.6691
2021-02-11,137.93,11.6911
2021-02-12,138.31,11.7204
2021-02-15,137.11,11.6897
2021-02-16,137.07,11.6723
