"09535: Konsultasjoner hos fastlegen, etter kjønn, alder, region, år og statistikkvariabel"
"kjønn";"alder";"region";"2024 Andel personer med 0 konsultasjoner hos fastlege (prosent)";"2024 Andel personer med 1-2 konsultasjoner hos fastlege (prosent)";"2024 Andel personer med 3-4 konsultasjoner hos fastlege (prosent)";"2024 Andel personer med 5 eller flere konsultasjoner hos fastlege (prosent)"
"Begge kjønn";"Alle aldre";"0 Hele landet";27.7;32.2;17.6;22.5
"Begge kjønn";"Alle aldre";"31 Østfold";24.9;31.3;18.6;25.1
"Begge kjønn";"Alle aldre";"32 Akershus";27.0;32.0;17.7;23.2
"Begge kjønn";"Alle aldre";"03 Oslo - Oslove";31.0;31.5;16.4;21.2
"Begge kjønn";"Alle aldre";"34 Innlandet";26.7;31.5;18.0;23.8
"Begge kjønn";"Alle aldre";"33 Buskerud";26.6;31.6;17.8;24.0
"Begge kjønn";"Alle aldre";"39 Vestfold";24.6;31.2;18.6;25.5
"Begge kjønn";"Alle aldre";"40 Telemark";27.0;32.8;17.7;22.4
"Begge kjønn";"Alle aldre";"42 Agder";26.1;32.8;17.9;23.1
"Begge kjønn";"Alle aldre";"11 Rogaland";28.9;33.2;17.3;20.7
"Begge kjønn";"Alle aldre";"46 Vestland";28.7;32.9;17.3;21.2
"Begge kjønn";"Alle aldre";"15 Møre og Romsdal";27.4;32.3;17.8;22.5
"Begge kjønn";"Alle aldre";"50 Trøndelag - Trööndelage";26.7;33.0;17.9;22.4
"Begge kjønn";"Alle aldre";"18 Nordland - Nordlánnda";28.3;32.9;17.3;21.5
"Begge kjønn";"Alle aldre";"55 Troms - Romsa - Tromssa";28.3;31.7;17.1;22.9
"Begge kjønn";"Alle aldre";"56 Finnmark - Finnmárku - Finmarkku";29.8;31.6;16.7;22.0
