"12143: Finansielle nøkkeltall i prosent av brutto driftsinntekter, kommunekonsern, etter år, statistikkvariabel, regnskapsbegrep og region"
"år";"statistikkvariabel";"regnskapsbegrep";"1120 Klepp";"1121 Time";"1122 Gjesdal";"1124 Sola";"1127 Randaberg";"1130 Strand"
"2015";"Beløp (1000 kr)";"Brutto driftsresultat";31633;13;13374;41288;5076;25490
"2015";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";141918;260487;174843;558517;196109;159172
"2015";"Beløp (1000 kr)";"Disposisjonsfond (K)";132491;9321;53241;168636;25735;32711
"2015";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";2.5;0.0;1.7;2.3;0.6;2.9
"2015";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";11.2;20.8;21.8;31.2;24.4;17.8
"2015";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";10.4;0.7;6.6;9.4;3.2;3.7
"2016";"Beløp (1000 kr)";"Brutto driftsresultat";40863;20884;34401;43024;10548;62268
"2016";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";194445;270542;172189;408070;295890;118723
"2016";"Beløp (1000 kr)";"Disposisjonsfond (K)";160709;29828;53440;217463;52469;70949
"2016";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";3.0;1.6;3.9;2.3;1.2;6.5
"2016";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";14.4;20.4;19.7;21.4;34.7;12.3
"2016";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";11.9;2.2;6.1;11.4;6.2;7.4
"2017";"Beløp (1000 kr)";"Brutto driftsresultat";8716;1028;37194;24576;-16517;79920
"2017";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";96913;367235;156625;281158;295359;223448
"2017";"Beløp (1000 kr)";"Disposisjonsfond (K)";187620;61488;67619;250717;70281;124369
"2017";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";0.6;0.1;4.1;1.3;-1.8;7.7
"2017";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";7.1;26.8;17.1;14.5;33.0;21.4
"2017";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";13.7;4.5;7.4;12.9;7.8;11.9
"2018";"Beløp (1000 kr)";"Brutto driftsresultat";15000;-38765;32960;1936;-23249;32307
"2018";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";218796;228915;128785;418481;173566;273985
"2018";"Beløp (1000 kr)";"Disposisjonsfond (K)";168547;73708;100285;258687;68493;117173
"2018";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";1.1;-2.8;3.6;0.1;-2.5;3.1
"2018";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";15.5;16.3;13.9;21.1;18.8;26.0
"2018";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";11.9;5.2;10.8;13.0;7.4;11.1
"2019";"Beløp (1000 kr)";"Brutto driftsresultat";28937;-18255;-2227;30717;-20871;-2916
"2019";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";271974;243628;175356;573478;129948;303203
"2019";"Beløp (1000 kr)";"Disposisjonsfond (K)";159407;75151;93368;229052;71190;123169
"2019";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";2.0;-1.2;-0.2;1.5;-2.2;-0.3
"2019";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";18.3;16.6;18.3;27.6;13.9;28.9
"2019";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";10.7;5.1;9.8;11.0;7.6;11.7
"2020";"Beløp (1000 kr)";"Brutto driftsresultat";51666;-24822;-1067;26821;-22124;7763
"2020";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";316582;277137;127440;455853;180244;382801
"2020";"Beløp (1000 kr)";"Disposisjonsfond (K)";236964;101449;99635;247635;61871;135284
"2020";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";3.3;-1.7;-0.1;1.2;-2.3;0.7
"2020";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";20.5;18.8;12.9;21.1;19.0;35.4
"2020";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";15.3;6.9;10.1;11.5;6.5;12.5
"2021";"Beløp (1000 kr)";"Brutto driftsresultat";111330;49130;64450;48709;-14499;12796
"2021";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";369043;195653;106928;360617;108478;348467
"2021";"Beløp (1000 kr)";"Disposisjonsfond (K)";320500;182924;179407;219402;65836;152710
"2021";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";6.6;3.0;5.9;2.0;-1.4;1.1
"2021";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";21.8;11.9;9.8;14.7;10.6;29.6
"2021";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";18.9;11.2;16.4;8.9;6.5;13.0
"2022";"Beløp (1000 kr)";"Brutto driftsresultat";87971;27464;28977;58023;-11712;5335
"2022";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";218794;221762;156675;210761;76274;260781
"2022";"Beløp (1000 kr)";"Disposisjonsfond (K)";338042;236030;168852;394570;76347;144215
"2022";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";4.9;1.5;2.4;2.3;-1.1;0.4
"2022";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";12.1;12.2;13.2;8.3;6.9;20.5
"2022";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";18.7;13.0;14.2;15.5;6.9;11.3
"2023";"Beløp (1000 kr)";"Brutto driftsresultat";72369;-30510;-6114;46597;-4203;-25243
"2023";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";423936;352549;202526;273728;156612;163584
"2023";"Beløp (1000 kr)";"Disposisjonsfond (K)";378352;206681;172181;344197;69843;103682
"2023";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";3.8;-1.6;-0.5;1.7;-0.4;-1.9
"2023";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";22.2;18.3;16.1;10.2;13.1;12.3
"2023";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";19.8;10.7;13.7;12.8;5.8;7.8
"2024";"Beløp (1000 kr)";"Brutto driftsresultat";44689;-27643;-22069;-42556;-38310;-39288
"2024";"Beløp (1000 kr)";"Brutto investeringsutgifter totalt";487501;256517;228343;651902;123054;160682
"2024";"Beløp (1000 kr)";"Disposisjonsfond (K)";405154;174642;158563;333870;54917;44778
"2024";"Andel av brutto driftsinntekter (prosent)";"Brutto driftsresultat";2.2;-1.3;-1.6;-1.5;-3.0;-2.8
"2024";"Andel av brutto driftsinntekter (prosent)";"Brutto investeringsutgifter totalt";24.1;12.5;17.1;23.0;9.6;11.4
"2024";"Andel av brutto driftsinntekter (prosent)";"Disposisjonsfond (K)";20.0;8.5;11.8;11.8;4.3;3.2
