"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter måned, statistikkvariabel, type justering og alder"
"måned";"Arbeidsstyrken (1000 personer) Ikke sesongjustert 15-74 år";"Arbeidsstyrken (1000 personer) Ikke sesongjustert 15-24 år";"Arbeidsstyrken (1000 personer) Ikke sesongjustert 25-74 år";"Sysselsatte (1000 personer) Ikke sesongjustert 15-74 år";"Sysselsatte (1000 personer) Ikke sesongjustert 15-24 år";"Sysselsatte (1000 personer) Ikke sesongjustert 25-74 år";"Arbeidsledige (1000 personer) Ikke sesongjustert 15-74 år";"Arbeidsledige (1000 personer) Ikke sesongjustert 15-24 år";"Arbeidsledige (1000 personer) Ikke sesongjustert 25-74 år"
"2006M01";2434;331;2103;2331;294;2037;103;37;66
"2006M02";2429;341;2088;2326;302;2024;103;39;64
"2006M03";2420;331;2090;2324;288;2037;96;43;53
"2006M04";2450;341;2109;2352;298;2053;99;43;56
"2006M05";2459;338;2121;2359;291;2067;100;46;54
"2006M06";2495;388;2108;2386;334;2053;109;54;55
"2006M07";2508;394;2114;2428;362;2066;80;32;48
"2006M08";2477;360;2118;2387;319;2068;91;41;50
"2006M09";2458;337;2121;2372;299;2072;86;38;48
"2006M10";2487;345;2142;2419;321;2098;69;24;45
"2006M11";2475;339;2136;2407;304;2103;68;34;33
"2006M12";2455;337;2118;2398;315;2084;57;22;35
"2007M01";2477;349;2128;2402;310;2092;75;39;36
"2007M02";2490;334;2156;2420;301;2118;71;33;38
"2007M03";2490;355;2135;2418;321;2096;72;34;39
"2007M04";2488;344;2145;2417;309;2108;71;34;37
"2007M05";2525;364;2161;2452;328;2124;73;37;36
"2007M06";2561;402;2159;2483;357;2126;77;44;33
"2007M07";2555;403;2151;2484;374;2111;70;30;41
"2007M08";2539;372;2167;2469;341;2129;70;32;38
"2007M09";2511;364;2147;2446;326;2121;65;38;27
"2007M10";2555;365;2189;2486;336;2150;69;29;40
"2007M11";2567;382;2185;2507;352;2155;60;30;30
"2007M12";2535;359;2176;2486;337;2149;49;22;27
"2008M01";2556;375;2181;2484;341;2143;73;35;38
"2008M02";2588;392;2196;2522;361;2161;66;31;35
"2008M03";2576;383;2192;2507;345;2161;69;38;31
"2008M04";2575;364;2211;2505;331;2174;70;33;37
"2008M05";2615;400;2215;2538;362;2176;77;38;39
"2008M06";2636;429;2207;2545;376;2169;91;53;38
"2008M07";2630;432;2198;2555;396;2159;76;37;39
"2008M08";2621;386;2235;2546;349;2197;75;36;38
"2008M09";2606;385;2221;2518;340;2178;87;45;43
"2008M10";2586;374;2212;2505;337;2168;81;36;44
"2008M11";2610;381;2229;2537;346;2192;73;35;38
"2008M12";2601;384;2217;2528;347;2181;74;37;37
"2009M01";2585;368;2218;2502;330;2173;83;38;45
"2009M02";2607;373;2233;2520;332;2188;86;41;46
"2009M03";2621;381;2241;2532;340;2192;89;40;48
"2009M04";2606;367;2239;2512;328;2184;95;39;55
"2009M05";2634;384;2251;2536;335;2200;99;48;50
"2009M06";2655;433;2221;2550;374;2176;105;60;45
"2009M07";2629;409;2221;2546;368;2178;83;40;43
"2009M08";2601;375;2226;2507;333;2174;94;42;52
"2009M09";2572;362;2210;2482;315;2167;90;47;43
"2009M10";2596;365;2231;2510;329;2181;86;36;50
"2009M11";2599;363;2237;2504;321;2183;95;42;53
"2009M12";2559;352;2207;2482;321;2162;76;31;45
"2010M01";2596;370;2227;2496;328;2169;100;42;58
"2010M02";2612;366;2246;2510;326;2183;103;40;63
"2010M03";2597;363;2234;2475;313;2163;122;50;71
"2010M04";2592;362;2229;2489;318;2171;102;44;58
"2010M05";2633;379;2254;2523;330;2193;110;49;61
"2010M06";2680;425;2255;2555;357;2198;125;68;57
"2010M07";2652;394;2259;2560;364;2196;93;30;63
"2010M08";2611;374;2237;2512;332;2181;98;42;56
"2010M09";2618;374;2244;2512;330;2181;106;43;63
"2010M10";2623;370;2253;2526;328;2198;97;42;55
"2010M11";2628;372;2255;2541;333;2209;87;40;47
"2010M12";2613;379;2234;2515;337;2178;98;41;56
"2011M01";2598;362;2236;2513;324;2190;85;38;47
"2011M02";2623;360;2263;2535;321;2213;88;38;50
"2011M03";2637;383;2254;2534;337;2198;102;46;56
"2011M04";2638;369;2269;2538;333;2205;99;36;63
"2011M05";2673;385;2288;2575;338;2237;99;47;52
"2011M06";2681;402;2279;2575;353;2221;106;49;58
"2011M07";2686;421;2266;2598;384;2213;89;36;52
"2011M08";2665;381;2284;2567;336;2231;98;45;53
"2011M09";2668;380;2288;2574;338;2235;95;42;53
"2011M10";2665;389;2276;2566;344;2223;99;45;53
"2011M11";2662;377;2285;2573;340;2233;89;37;52
"2011M12";2674;382;2292;2591;353;2238;83;29;54
"2012M01";2665;381;2284;2562;339;2223;103;42;61
"2012M02";2675;380;2296;2577;343;2234;98;37;61
"2012M03";2684;385;2299;2601;351;2250;83;34;48
"2012M04";2680;383;2298;2586;341;2245;94;41;53
"2012M05";2718;411;2307;2620;362;2258;99;49;49
"2012M06";2723;418;2304;2627;371;2256;96;47;49
"2012M07";2705;425;2280;2615;382;2233;90;43;47
"2012M08";2699;401;2298;2611;361;2250;88;40;49
"2012M09";2710;390;2319;2616;345;2271;93;45;48
"2012M10";2710;394;2316;2611;349;2262;99;45;54
"2012M11";2701;402;2299;2608;358;2250;93;44;48
"2012M12";2701;387;2314;2609;351;2257;92;35;57
"2013M01";2687;396;2291;2584;350;2234;103;46;57
"2013M02";2701;395;2306;2594;347;2247;108;48;59
"2013M03";2729;400;2329;2615;354;2261;114;46;68
