"region";"næring (SN2007)";"organisasjonsform";"kvartal";"statistikkvariabel";"07165: Konkurser, etter region, næring (SN2007), organisasjonsform, kvartal og statistikkvariabel"
"0 Hele landet";"01-99 Total";"99 I alt";"2006K1";"Konkurser";845
"0 Hele landet";"01-99 Total";"99 I alt";"2006K2";"Konkurser";689
"0 Hele landet";"01-99 Total";"99 I alt";"2006K3";"Konkurser";710
"0 Hele landet";"01-99 Total";"99 I alt";"2006K4";"Konkurser";788
"0 Hele landet";"01-99 Total";"99 I alt";"2007K1";"Konkurser";881
"0 Hele landet";"01-99 Total";"99 I alt";"2007K2";"Konkurser";691
"0 Hele landet";"01-99 Total";"99 I alt";"2007K3";"Konkurser";583
"0 Hele landet";"01-99 Total";"99 I alt";"2007K4";"Konkurser";690
"0 Hele landet";"01-99 Total";"99 I alt";"2008K1";"Konkurser";753
"0 Hele landet";"01-99 Total";"99 I alt";"2008K2";"Konkurser";875
"0 Hele landet";"01-99 Total";"99 I alt";"2008K3";"Konkurser";834
"0 Hele landet";"01-99 Total";"99 I alt";"2008K4";"Konkurser";1175
"0 Hele landet";"01-99 Total";"99 I alt";"2009K1";"Konkurser";1418
"0 Hele landet";"01-99 Total";"99 I alt";"2009K2";"Konkurser";1384
"0 Hele landet";"01-99 Total";"99 I alt";"2009K3";"Konkurser";1028
"0 Hele landet";"01-99 Total";"99 I alt";"2009K4";"Konkurser";1183
"0 Hele landet";"01-99 Total";"99 I alt";"2010K1";"Konkurser";1211
"0 Hele landet";"01-99 Total";"99 I alt";"2010K2";"Konkurser";1240
"0 Hele landet";"01-99 Total";"99 I alt";"2010K3";"Konkurser";949
"0 Hele landet";"01-99 Total";"99 I alt";"2010K4";"Konkurser";1035
"0 Hele landet";"01-99 Total";"99 I alt";"2011K1";"Konkurser";1179
"0 Hele landet";"01-99 Total";"99 I alt";"2011K2";"Konkurser";1158
"0 Hele landet";"01-99 Total";"99 I alt";"2011K3";"Konkurser";934
"0 Hele landet";"01-99 Total";"99 I alt";"2011K4";"Konkurser";1084
"0 Hele landet";"01-99 Total";"99 I alt";"2012K1";"Konkurser";1075
"0 Hele landet";"01-99 Total";"99 I alt";"2012K2";"Konkurser";900
"0 Hele landet";"01-99 Total";"99 I alt";"2012K3";"Konkurser";840
"0 Hele landet";"01-99 Total";"99 I alt";"2012K4";"Konkurser";999
"0 Hele landet";"01-99 Total";"99 I alt";"2013K1";"Konkurser";1184
"0 Hele landet";"01-99 Total";"99 I alt";"2013K2";"Konkurser";1316
"0 Hele landet";"01-99 Total";"99 I alt";"2013K3";"Konkurser";908
"0 Hele landet";"01-99 Total";"99 I alt";"2013K4";"Konkurser";1156
"0 Hele landet";"01-99 Total";"99 I alt";"2014K1";"Konkurser";1299
"0 Hele landet";"01-99 Total";"99 I alt";"2014K2";"Konkurser";1268
"0 Hele landet";"01-99 Total";"99 I alt";"2014K3";"Konkurser";1035
"0 Hele landet";"01-99 Total";"99 I alt";"2014K4";"Konkurser";1201
"0 Hele landet";"01-99 Total";"99 I alt";"2015K1";"Konkurser";1294
"0 Hele landet";"01-99 Total";"99 I alt";"2015K2";"Konkurser";1165
"0 Hele landet";"01-99 Total";"99 I alt";"2015K3";"Konkurser";879
"0 Hele landet";"01-99 Total";"99 I alt";"2015K4";"Konkurser";1124
"0 Hele landet";"01-99 Total";"99 I alt";"2016K1";"Konkurser";1163
"0 Hele landet";"01-99 Total";"99 I alt";"2016K2";"Konkurser";1352
"0 Hele landet";"01-99 Total";"99 I alt";"2016K3";"Konkurser";998
"0 Hele landet";"01-99 Total";"99 I alt";"2016K4";"Konkurser";1031
"0 Hele landet";"01-99 Total";"99 I alt";"2017K1";"Konkurser";1254
"0 Hele landet";"01-99 Total";"99 I alt";"2017K2";"Konkurser";1124
"0 Hele landet";"01-99 Total";"99 I alt";"2017K3";"Konkurser";953
"0 Hele landet";"01-99 Total";"99 I alt";"2017K4";"Konkurser";1226
"0 Hele landet";"01-99 Total";"99 I alt";"2018K1";"Konkurser";1301
"0 Hele landet";"01-99 Total";"99 I alt";"2018K2";"Konkurser";1361
"0 Hele landet";"01-99 Total";"99 I alt";"2018K3";"Konkurser";1076
"0 Hele landet";"01-99 Total";"99 I alt";"2018K4";"Konkurser";1272
"0 Hele landet";"01-99 Total";"99 I alt";"2019K1";"Konkurser";1333
"0 Hele landet";"01-99 Total";"99 I alt";"2019K2";"Konkurser";1294
"0 Hele landet";"01-99 Total";"99 I alt";"2019K3";"Konkurser";1116
"0 Hele landet";"01-99 Total";"99 I alt";"2019K4";"Konkurser";1270
"0 Hele landet";"01-99 Total";"99 I alt";"2020K1";"Konkurser";1245
"0 Hele landet";"01-99 Total";"99 I alt";"2020K2";"Konkurser";937
"0 Hele landet";"01-99 Total";"99 I alt";"2020K3";"Konkurser";800
"0 Hele landet";"01-99 Total";"99 I alt";"2020K4";"Konkurser";1119
"0 Hele landet";"01-99 Total";"99 I alt";"2021K1";"Konkurser";839
"0 Hele landet";"01-99 Total";"99 I alt";"2021K2";"Konkurser";937
"0 Hele landet";"01-99 Total";"99 I alt";"2021K3";"Konkurser";660
"0 Hele landet";"01-99 Total";"99 I alt";"2021K4";"Konkurser";889
"0 Hele landet";"01-99 Total";"99 I alt";"2022K1";"Konkurser";938
"0 Hele landet";"01-99 Total";"99 I alt";"2022K2";"Konkurser";934
"0 Hele landet";"01-99 Total";"99 I alt";"2022K3";"Konkurser";835
"0 Hele landet";"01-99 Total";"99 I alt";"2022K4";"Konkurser";1006
