"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2000U01";3728;30.98
"Fersk oppalen laks";"2000U02";4054;31.12
"Fersk oppalen laks";"2000U03";4043;31.03
"Fersk oppalen laks";"2000U04";3730;30.95
"Fersk oppalen laks";"2000U05";3831;31.30
"Fersk oppalen laks";"2000U06";4415;32.53
"Fersk oppalen laks";"2000U07";4617;32.46
"Fersk oppalen laks";"2000U08";4463;32.19
"Fersk oppalen laks";"2000U09";4025;32.04
"Fersk oppalen laks";"2000U10";4274;32.00
"Fersk oppalen laks";"2000U11";4797;33.29
"Fersk oppalen laks";"2000U12";5004;33.77
"Fersk oppalen laks";"2000U13";5336;34.11
"Fersk oppalen laks";"2000U14";6091;34.61
"Fersk oppalen laks";"2000U15";6460;34.12
"Fersk oppalen laks";"2000U16";3511;34.45
"Fersk oppalen laks";"2000U17";4224;35.56
"Fersk oppalen laks";"2000U18";4537;37.69
"Fersk oppalen laks";"2000U19";4922;37.94
"Fersk oppalen laks";"2000U20";4527;37.32
"Fersk oppalen laks";"2000U21";5188;35.40
"Fersk oppalen laks";"2000U22";4500;34.63
"Fersk oppalen laks";"2000U23";5062;34.00
"Fersk oppalen laks";"2000U24";4601;34.39
"Fersk oppalen laks";"2000U25";5185;35.33
"Fersk oppalen laks";"2000U26";5075;36.00
"Fersk oppalen laks";"2000U27";4775;35.23
"Fersk oppalen laks";"2000U28";3930;35.33
"Fersk oppalen laks";"2000U29";3825;35.31
"Fersk oppalen laks";"2000U30";3584;35.86
"Fersk oppalen laks";"2000U31";4667;36.09
"Fersk oppalen laks";"2000U32";4776;35.44
"Fersk oppalen laks";"2000U33";4649;34.07
"Fersk oppalen laks";"2000U34";5381;33.46
"Fersk oppalen laks";"2000U35";5973;32.03
"Fersk oppalen laks";"2000U36";5469;30.65
"Fersk oppalen laks";"2000U37";5597;29.51
"Fersk oppalen laks";"2000U38";5854;29.33
"Fersk oppalen laks";"2000U39";6081;29.18
"Fersk oppalen laks";"2000U40";5978;28.44
"Fersk oppalen laks";"2000U41";5637;27.76
"Fersk oppalen laks";"2000U42";5829;27.01
"Fersk oppalen laks";"2000U43";6040;27.13
"Fersk oppalen laks";"2000U44";5937;27.22
"Fersk oppalen laks";"2000U45";6442;27.20
"Fersk oppalen laks";"2000U46";6690;26.88
"Fersk oppalen laks";"2000U47";6565;26.65
"Fersk oppalen laks";"2000U48";6017;26.43
"Fersk oppalen laks";"2000U49";8205;26.71
"Fersk oppalen laks";"2000U50";5263;27.60
"Fersk oppalen laks";"2000U51";7839;27.93
"Fersk oppalen laks";"2000U52";3266;28.35
"Fersk oppalen laks";"2001U01";4089;28.04
"Fersk oppalen laks";"2001U02";4959;27.32
"Fersk oppalen laks";"2001U03";4610;26.58
"Fersk oppalen laks";"2001U04";4470;26.16
"Fersk oppalen laks";"2001U05";4523;26.27
"Fersk oppalen laks";"2001U06";4462;26.73
"Fersk oppalen laks";"2001U07";4533;26.85
"Fersk oppalen laks";"2001U08";3807;27.15
"Fersk oppalen laks";"2001U09";4772;27.44
"Fersk oppalen laks";"2001U10";4936;28.00
"Fersk oppalen laks";"2001U11";5334;28.09
"Fersk oppalen laks";"2001U12";5328;28.08
"Fersk oppalen laks";"2001U13";5283;27.21
"Fersk oppalen laks";"2001U14";6047;26.98
"Fersk oppalen laks";"2001U15";3776;27.77
"Fersk oppalen laks";"2001U16";4253;27.79
"Fersk oppalen laks";"2001U17";5246;27.77
"Fersk oppalen laks";"2001U18";4547;27.46
"Fersk oppalen laks";"2001U19";5184;27.36
"Fersk oppalen laks";"2001U20";4913;27.28
"Fersk oppalen laks";"2001U21";5052;27.13
"Fersk oppalen laks";"2001U22";5554;27.12
"Fersk oppalen laks";"2001U23";4129;27.07
"Fersk oppalen laks";"2001U24";5454;26.75
"Fersk oppalen laks";"2001U25";4891;27.03
"Fersk oppalen laks";"2001U26";5077;26.97
"Fersk oppalen laks";"2001U27";4247;26.69
"Fersk oppalen laks";"2001U28";4272;26.19
"Fersk oppalen laks";"2001U29";4015;26.31
"Fersk oppalen laks";"2001U30";4075;26.20
"Fersk oppalen laks";"2001U31";4372;26.32
"Fersk oppalen laks";"2001U32";3994;26.71
"Fersk oppalen laks";"2001U33";4821;26.05
"Fersk oppalen laks";"2001U34";4843;26.02
"Fersk oppalen laks";"2001U35";5175;25.91
"Fersk oppalen laks";"2001U36";4746;25.92
"Fersk oppalen laks";"2001U37";4833;25.66
"Fersk oppalen laks";"2001U38";4999;25.15
"Fersk oppalen laks";"2001U39";5478;25.08
"Fersk oppalen laks";"2001U40";5121;24.55
"Fersk oppalen laks";"2001U41";4492;24.66
"Fersk oppalen laks";"2001U42";4935;24.43
"Fersk oppalen laks";"2001U43";5169;23.98
"Fersk oppalen laks";"2001U44";5369;23.28
"Fersk oppalen laks";"2001U45";5196;23.50
"Fersk oppalen laks";"2001U46";5808;23.09
