"statistikkvariabel"	"region"	"fagutdanning"	"sektor"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"
"Sysselsatte"	"K.3101 Halden"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	13	13	13	13	14	17	20	17	17	19	17	16	17	24	24	18	20
"Sysselsatte"	"K.3101 Halden"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3101 Halden"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3101 Halden"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"Sysselsatte"	"K.3101 Halden"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3103 Moss"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	28	31	31	31	35	33	30	32	39	39	41	43	39	40	46	48	43
"Sysselsatte"	"K.3103 Moss"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3103 Moss"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	..	..	..	5	6	5	5	5	4	5	5	3	4	3	3	3	3
"Sysselsatte"	"K.3103 Moss"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	3	..	..	..	..	3	0	0	0	0	0	0	3	0	3
"Sysselsatte"	"K.3103 Moss"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3105 Sarpsborg"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	31	34	31	34	34	33	36	31	35	34	35	39	39	39	38	39	37
"Sysselsatte"	"K.3105 Sarpsborg"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3105 Sarpsborg"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	3	..	..	..	..	0	..	96	101	101	93	96	96	89	94	93	93
"Sysselsatte"	"K.3105 Sarpsborg"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	0	0	0	..	..	..	3	3	0	3	0	0	0	0	3	0
"Sysselsatte"	"K.3105 Sarpsborg"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3107 Fredrikstad"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	43	40	38	36	34	39	43	47	49	52	60	54	55	56	53	54	54
"Sysselsatte"	"K.3107 Fredrikstad"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3107 Fredrikstad"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	92	90	97	112	113	100	109	4	6	8	4	4	4	5	5	3	4
"Sysselsatte"	"K.3107 Fredrikstad"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	3	3	4	4	4	3	3	4	3	3	3	4	6	3	4	4	3
"Sysselsatte"	"K.3107 Fredrikstad"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3110 Hvaler"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	3	3	4	5	4	4	3	3	3	3	3	3	3	3	3	3
"Sysselsatte"	"K.3110 Hvaler"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3110 Hvaler"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3110 Hvaler"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3110 Hvaler"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3112 Råde"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	4	4	4	5	5	5	5	5	6	9	10	8	11	8	11	7	7
"Sysselsatte"	"K.3112 Råde"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3112 Råde"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3112 Råde"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3112 Råde"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3114 Våler (Østfold)"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	6	5	5	6	5	6	6	5	4	4	4	5	5	5	7	6	9
"Sysselsatte"	"K.3114 Våler (Østfold)"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3114 Våler (Østfold)"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3114 Våler (Østfold)"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	..	0	0	0	0	3	0	3	0	0	0	0	3
"Sysselsatte"	"K.3114 Våler (Østfold)"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3116 Skiptvet"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	0	..	..	..	..	..	..	0	0	0	4	4	3	3	3	3	0
"Sysselsatte"	"K.3116 Skiptvet"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3116 Skiptvet"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3116 Skiptvet"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3116 Skiptvet"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3118 Indre Østfold"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	22	24	..	..	..	..	..	30	29	32	30	29	29	32	32	34	34
"Sysselsatte"	"K.3118 Indre Østfold"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3118 Indre Østfold"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	..	..	..	..	0	..	0	0	3	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3118 Indre Østfold"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	..	..	..	0	0	0	0	0	0	0	0	0	3	3	0	0	0
"Sysselsatte"	"K.3118 Indre Østfold"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3120 Rakkestad"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	4	7	7	7	7	8	6	6	6	6	5	5	5	6	7	6	7
"Sysselsatte"	"K.3120 Rakkestad"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3120 Rakkestad"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3120 Rakkestad"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"Sysselsatte"	"K.3120 Rakkestad"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3122 Marker"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	..	..	..	3	3	3	4	3	3	3	3	0	3	3	3	3	3
"Sysselsatte"	"K.3122 Marker"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3122 Marker"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3122 Marker"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3122 Marker"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3124 Aremark"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	0	0	0	..	..	..	..	0	0	0	0	3	3	0	3	0	0
"Sysselsatte"	"K.3124 Aremark"	"Helsesykepleier og jordmor"	"Fylkeskommunal forvaltning"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3124 Aremark"	"Helsesykepleier og jordmor"	"Statsforvaltningen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3124 Aremark"	"Helsesykepleier og jordmor"	"Privat sektor og offentlige foretak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3124 Aremark"	"Helsesykepleier og jordmor"	"Uoppgitt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sysselsatte"	"K.3201 Bærum"	"Helsesykepleier og jordmor"	"Kommuneforvaltningen"	79	91	87	93	94	102	102	107	114	122	109	109	110	116	115	120	121
