"kjønn"	"år"	"Levendefødte"	"Dødfødte"
"Begge kjønn"	"1986"	52514	268
"Begge kjønn"	"1987"	54027	237
"Begge kjønn"	"1988"	57526	270
"Begge kjønn"	"1989"	59303	292
"Begge kjønn"	"1990"	60939	279
"Begge kjønn"	"1991"	60808	295
"Begge kjønn"	"1992"	60109	258
"Begge kjønn"	"1993"	59678	248
"Begge kjønn"	"1994"	60092	276
"Begge kjønn"	"1995"	60292	236
"Begge kjønn"	"1996"	60927	276
"Begge kjønn"	"1997"	59801	230
"Begge kjønn"	"1998"	58352	247
"Begge kjønn"	"1999"	59298	241
"Begge kjønn"	"2000"	59234	225
"Begge kjønn"	"2001"	56696	241
"Begge kjønn"	"2002"	55434	197
"Begge kjønn"	"2003"	56458	213
"Begge kjønn"	"2004"	56951	210
"Begge kjønn"	"2005"	56756	182
"Begge kjønn"	"2006"	58545	201
"Begge kjønn"	"2007"	58459	241
"Begge kjønn"	"2008"	60497	221
"Begge kjønn"	"2009"	61807	215
"Begge kjønn"	"2010"	61442	190
"Begge kjønn"	"2011"	60220	198
"Begge kjønn"	"2012"	60255	184
"Begge kjønn"	"2013"	58995	166
"Begge kjønn"	"2014"	59084	207
"Begge kjønn"	"2015"	59058	162
"Begge kjønn"	"2016"	58890	183
"Begge kjønn"	"2017"	56633	139
"Begge kjønn"	"2018"	55120	148
"Begge kjønn"	"2019"	54495	123
"Begge kjønn"	"2020"	52979	133
"Begge kjønn"	"2021"	56060	120
"Begge kjønn"	"2022"	51480	102
"Begge kjønn"	"2023"	51980	126
"Begge kjønn"	"2024"	54013	115
"Jenter"	"1986"	25458	133
"Jenter"	"1987"	26525	110
"Jenter"	"1988"	28053	120
"Jenter"	"1989"	28842	153
"Jenter"	"1990"	29663	126
"Jenter"	"1991"	29503	129
"Jenter"	"1992"	28955	122
"Jenter"	"1993"	29112	120
"Jenter"	"1994"	29156	141
"Jenter"	"1995"	29286	123
"Jenter"	"1996"	29437	130
"Jenter"	"1997"	29077	85
"Jenter"	"1998"	28482	111
"Jenter"	"1999"	28830	119
"Jenter"	"2000"	28798	113
"Jenter"	"2001"	27655	126
"Jenter"	"2002"	27109	96
"Jenter"	"2003"	27444	104
"Jenter"	"2004"	27759	93
"Jenter"	"2005"	27703	74
"Jenter"	"2006"	28556	92
"Jenter"	"2007"	28455	114
"Jenter"	"2008"	29361	90
"Jenter"	"2009"	29974	113
"Jenter"	"2010"	29981	88
"Jenter"	"2011"	29214	99
"Jenter"	"2012"	29322	92
"Jenter"	"2013"	28857	81
"Jenter"	"2014"	28714	93
"Jenter"	"2015"	28689	83
"Jenter"	"2016"	28504	95
"Jenter"	"2017"	27460	77
"Jenter"	"2018"	26690	70
"Jenter"	"2019"	26453	60
"Jenter"	"2020"	25916	61
"Jenter"	"2021"	27376	59
"Jenter"	"2022"	25035	55
"Jenter"	"2023"	25416	48
"Jenter"	"2024"	26129	51
"Gutter"	"1986"	27056	135
"Gutter"	"1987"	27502	127
"Gutter"	"1988"	29473	150
"Gutter"	"1989"	30461	139
"Gutter"	"1990"	31276	153
"Gutter"	"1991"	31305	166
"Gutter"	"1992"	31154	136
"Gutter"	"1993"	30566	128
"Gutter"	"1994"	30936	135
"Gutter"	"1995"	31006	113
"Gutter"	"1996"	31490	146
"Gutter"	"1997"	30724	145
"Gutter"	"1998"	29870	136
"Gutter"	"1999"	30468	122
"Gutter"	"2000"	30436	112
"Gutter"	"2001"	29041	115
"Gutter"	"2002"	28325	101
"Gutter"	"2003"	29014	109
"Gutter"	"2004"	29192	117
"Gutter"	"2005"	29053	108
"Gutter"	"2006"	29989	109
"Gutter"	"2007"	30004	127
"Gutter"	"2008"	31136	131
"Gutter"	"2009"	31833	102
"Gutter"	"2010"	31461	102
"Gutter"	"2011"	31006	99
"Gutter"	"2012"	30933	92
"Gutter"	"2013"	30138	85
"Gutter"	"2014"	30370	114
"Gutter"	"2015"	30369	79
"Gutter"	"2016"	30386	88
"Gutter"	"2017"	29173	62
"Gutter"	"2018"	28430	78
"Gutter"	"2019"	28042	63
"Gutter"	"2020"	27063	72
"Gutter"	"2021"	28684	61
"Gutter"	"2022"	26445	47
"Gutter"	"2023"	26564	78
"Gutter"	"2024"	27884	64
