"region";"boligtype";"kvartal";"statistikkvariabel";"07221: Prisindeks for brukte boliger, etter region, boligtype, kvartal og statistikkvariabel"
"TOTAL Hele landet";"00 Alle boligtyper";"1992K1";"Prisindeks for brukte boliger";18,8
"TOTAL Hele landet";"00 Alle boligtyper";"1992K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1992K2";"Prisindeks for brukte boliger";18,9
"TOTAL Hele landet";"00 Alle boligtyper";"1992K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1992K3";"Prisindeks for brukte boliger";19
"TOTAL Hele landet";"00 Alle boligtyper";"1992K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1992K4";"Prisindeks for brukte boliger";18,5
"TOTAL Hele landet";"00 Alle boligtyper";"1992K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1993K1";"Prisindeks for brukte boliger";17,8
"TOTAL Hele landet";"00 Alle boligtyper";"1993K1";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1993K2";"Prisindeks for brukte boliger";18,7
"TOTAL Hele landet";"00 Alle boligtyper";"1993K2";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1993K3";"Prisindeks for brukte boliger";19,4
"TOTAL Hele landet";"00 Alle boligtyper";"1993K3";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1993K4";"Prisindeks for brukte boliger";20
"TOTAL Hele landet";"00 Alle boligtyper";"1993K4";"Prisindeks for brukte boliger, sesongjustert";..
"TOTAL Hele landet";"00 Alle boligtyper";"1994K1";"Prisindeks for brukte boliger";20,6
"TOTAL Hele landet";"00 Alle boligtyper";"1994K1";"Prisindeks for brukte boliger, sesongjustert";..
