"07984: Sysselsatte per 4. kvartal, etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Sysselsatte personer etter bosted";"K.3001 Halden";13623;13347;13526;13688;13632;13725;13830;13435;13612;13695;13810;13700;13718;14188;14227
"Sysselsatte personer etter bosted";"K.3002 Moss";21833;21169;21357;21722;21767;21899;22215;21681;22070;22398;22654;22864;22875;23878;24447
"Sysselsatte personer etter bosted";"K.3003 Sarpsborg";25312;24593;24739;24854;24706;24858;24971;24353;24490;24736;25206;25542;25756;26717;27431
"Sysselsatte personer etter bosted";"K.3004 Fredrikstad";35798;34976;35393;35974;36441;36562;36734;36180;36874;37507;37918;38290;38209;39472;39957
"Sysselsatte personer etter bosted";"K.3005 Drammen";46446;45865;46356;47269;47544;47841;48502;47462;47954;48614;49268;49675;48992;50635;51572
"Sysselsatte personer etter bosted";"K.3006 Kongsberg";13533;13270;13382;13661;13785;13903;13859;13454;13508;13572;13642;13859;13583;13914;14226
"Sysselsatte personer etter bosted";"K.3007 Ringerike";15010;14677;14728;14762;14773;14807;14928;14450;14670;14808;14850;14993;14883;15269;15509
"Sysselsatte personer etter bosted";"K.3011 Hvaler";2098;2056;2069;2105;2135;2159;2154;2105;2119;2082;2135;2120;2115;2174;2213
"Sysselsatte personer etter bosted";"K.3012 Aremark";734;688;666;677;683;680;685;672;655;662;641;643;653;656;655
"Sysselsatte personer etter bosted";"K.3013 Marker";1765;1672;1686;1683;1677;1707;1698;1623;1627;1659;1703;1696;1676;1676;1678
"Sysselsatte personer etter bosted";"K.3014 Indre Østfold";20755;20319;20281;20377;20608;20954;21044;20440;20724;21046;21304;21636;21360;21974;22495
"Sysselsatte personer etter bosted";"K.3015 Skiptvet";1828;1831;1824;1806;1852;1899;1860;1854;1853;1890;1919;1906;1885;1932;1934
"Sysselsatte personer etter bosted";"K.3016 Rakkestad";3917;3867;3832;3840;3872;3919;3938;3844;3884;3937;3965;4030;3987;4127;4162
"Sysselsatte personer etter bosted";"K.3017 Råde";3592;3526;3479;3564;3606;3577;3593;3534;3548;3582;3660;3614;3645;3762;3825
"Sysselsatte personer etter bosted";"K.3018 Våler (Viken)";2392;2353;2390;2482;2523;2618;2702;2649;2742;2806;2846;2915;2921;3034;3059
"Sysselsatte personer etter bosted";"K.3019 Vestby";7680;7552;7691;7909;8020;8185;8494;8395;8586;8747;8867;8966;8928;9460;9611
"Sysselsatte personer etter bosted";"K.3020 Nordre Follo";27968;27428;27668;28161;28351;28473;28690;28495;28686;28996;29284;29542;29661;30983;31936
"Sysselsatte personer etter bosted";"K.3021 Ås";8439;8416;8628;8906;9001;9301;9502;9506;9711;10191;10378;10515;10249;10680;11179
"Sysselsatte personer etter bosted";"K.3022 Frogn";7696;7555;7553;7724;7941;8095;8110;7926;7912;7917;7994;8000;7902;8209;8238
"Sysselsatte personer etter bosted";"K.3023 Nesodden";9050;8885;8817;9092;9170;9288;9423;9431;9518;9779;9897;9962;9975;10124;10328
"Sysselsatte personer etter bosted";"K.3024 Bærum";57681;57098;57536;58554;59562;60611;61834;61188;62110;63389;64675;65301;64125;66215;67596
"Sysselsatte personer etter bosted";"K.3025 Asker";42952;42513;42867;43936;44611;45386;46061;45654;46281;46879;47392;47891;47411;49180;50738
"Sysselsatte personer etter bosted";"K.3026 Aurskog-Høland";7865;7787;7830;7899;8161;8223;8345;8211;8350;8475;8619;8631;8539;8838;8968
"Sysselsatte personer etter bosted";"K.3027 Rælingen";8696;8594;8689;8874;8904;9035;9256;9163;9283;9383;9562;9825;9607;10025;10444
"Sysselsatte personer etter bosted";"K.3028 Enebakk";5674;5537;5463;5608;5573;5558;5564;5526;5568;5541;5603;5594;5457;5641;5858
"Sysselsatte personer etter bosted";"K.3029 Lørenskog";17549;17354;17420;17747;17948;17973;18064;18372;19127;19917;20800;21399;21533;23060;24547
"Sysselsatte personer etter bosted";"K.3030 Lillestrøm";38758;38635;39060;39909;40689;41112;41480;41140;41898;43003;44512;45117;44226;46560;48614
"Sysselsatte personer etter bosted";"K.3031 Nittedal";11076;11010;11109;11366;11624;11831;11947;11787;12073;12389;12627;12654;12632;13106;13530
"Sysselsatte personer etter bosted";"K.3032 Gjerdrum";3091;3092;3207;3340;3407;3410;3422;3390;3483;3586;3667;3639;3625;3708;3915
"Sysselsatte personer etter bosted";"K.3033 Ullensaker";15282;15339;15704;16278;16623;16867;17284;17380;17875;18772;19769;20567;19864;21328;22437
"Sysselsatte personer etter bosted";"K.3034 Nes";10015;9851;9884;10077;10324;10435;10637;10576;10886;11159;11251;11425;11571;12094;12483
"Sysselsatte personer etter bosted";"K.3035 Eidsvoll";10817;10610;10781;11045;11270;11501;11721;11709;12127;12315;12531;12686;12528;13256;13785
"Sysselsatte personer etter bosted";"K.3036 Nannestad";5852;5781;5831;5995;6031;6187;6305;6310;6584;6964;7213;7553;7381;7966;8464
"Sysselsatte personer etter bosted";"K.3037 Hurdal";1346;1349;1310;1307;1328;1322;1352;1350;1387;1375;1373;1346;1305;1357;1432
"Sysselsatte personer etter bosted";"K.3038 Hole";3161;3147;3175;3284;3285;3375;3448;3427;3440;3536;3533;3464;3440;3529;3508
"Sysselsatte personer etter bosted";"K.3039 Flå";514;501;507;539;560;535;532;536;540;549;536;532;542;552;583
