"kjønn"	"alder"	"år"	"Andel dagligrøykere (prosent)"	"Andel av-og-til-røykere (prosent)"	"Antall respondenter"
"Begge kjønn"	"I alt"	"1973"	42	9	..
"Begge kjønn"	"I alt"	"1974"	41	9	..
"Begge kjønn"	"I alt"	"1975"	41	9	..
"Begge kjønn"	"I alt"	"1976"	39	9	..
"Begge kjønn"	"I alt"	"1977"	38	10	..
"Begge kjønn"	"I alt"	"1978"	38	10	..
"Begge kjønn"	"I alt"	"1979"	37	10	..
"Begge kjønn"	"I alt"	"1980"	36	9	..
"Begge kjønn"	"I alt"	"1981"	36	9	..
"Begge kjønn"	"I alt"	"1982"	36	9	..
"Begge kjønn"	"I alt"	"1983"	37	9	..
"Begge kjønn"	"I alt"	"1984"	37	8	..
"Begge kjønn"	"I alt"	"1985"	37	9	..
"Begge kjønn"	"I alt"	"1986"	36	10	..
"Begge kjønn"	"I alt"	"1987"	37	9	..
"Begge kjønn"	"I alt"	"1988"	37	9	..
"Begge kjønn"	"I alt"	"1989"	36	9	..
"Begge kjønn"	"I alt"	"1990"	35	9	..
"Begge kjønn"	"I alt"	"1991"	35	10	..
"Begge kjønn"	"I alt"	"1992"	34	10	1890
"Begge kjønn"	"I alt"	"1993"	36	10	1775
"Begge kjønn"	"I alt"	"1994"	33	10	3448
"Begge kjønn"	"I alt"	"1995"	33	13	4234
"Begge kjønn"	"I alt"	"1996"	33	12	5286
"Begge kjønn"	"I alt"	"1997"	34	12	5309
"Begge kjønn"	"I alt"	"1998"	33	11	5223
"Begge kjønn"	"I alt"	"1999"	31	11	5104
"Begge kjønn"	"I alt"	"2000"	31	10	5208
"Begge kjønn"	"I alt"	"2001"	29	11	5216
"Begge kjønn"	"I alt"	"2002"	29	11	5485
"Begge kjønn"	"I alt"	"2003"	26	11	5288
"Begge kjønn"	"I alt"	"2004"	26	11	5243
"Begge kjønn"	"I alt"	"2005"	25	11	5225
"Begge kjønn"	"I alt"	"2006"	23	10	4968
"Begge kjønn"	"I alt"	"2007"	21	10	4997
"Begge kjønn"	"I alt"	"2008"	20	9	4637
"Begge kjønn"	"I alt"	"2009"	20	9	4728
"Begge kjønn"	"I alt"	"2010"	19	10	4358
"Begge kjønn"	"I alt"	"2011"	17	10	4626
"Begge kjønn"	"I alt"	"2012"	16	10	4609
"Begge kjønn"	"I alt"	"2013"	15	8	4597
"Begge kjønn"	"I alt"	"2014"	13	9	4552
"Begge kjønn"	"I alt"	"2015"	13	9	6537
"Begge kjønn"	"I alt"	"2016"	12	8	6031
"Begge kjønn"	"I alt"	"2017"	11	8	6255
"Begge kjønn"	"I alt"	"2018"	11	8	6091
"Begge kjønn"	"I alt"	"2019"	9	9	6042
"Begge kjønn"	"I alt"	"2020"	9	8	6186
"Begge kjønn"	"I alt"	"2021"	8	7	5850
"Begge kjønn"	"I alt"	"2022"	8	8	5399
"Begge kjønn"	"I alt"	"2023"	7	8	5294
"Begge kjønn"	"I alt"	"2024"	8	9	4878
"Begge kjønn"	"I alt"	"2025"	7	8	4604
"Begge kjønn"	"16-24 år"	"1973"	44	12	..
"Begge kjønn"	"16-24 år"	"1974"	42	12	..
"Begge kjønn"	"16-24 år"	"1975"	42	12	..
"Begge kjønn"	"16-24 år"	"1976"	39	12	..
"Begge kjønn"	"16-24 år"	"1977"	38	13	..
"Begge kjønn"	"16-24 år"	"1978"	36	14	..
"Begge kjønn"	"16-24 år"	"1979"	36	14	..
"Begge kjønn"	"16-24 år"	"1980"	35	12	..
"Begge kjønn"	"16-24 år"	"1981"	35	11	..
"Begge kjønn"	"16-24 år"	"1982"	33	12	..
"Begge kjønn"	"16-24 år"	"1983"	32	11	..
"Begge kjønn"	"16-24 år"	"1984"	32	12	..
"Begge kjønn"	"16-24 år"	"1985"	31	11	..
"Begge kjønn"	"16-24 år"	"1986"	32	12	..
"Begge kjønn"	"16-24 år"	"1987"	30	11	..
"Begge kjønn"	"16-24 år"	"1988"	30	11	..
"Begge kjønn"	"16-24 år"	"1989"	29	10	..
"Begge kjønn"	"16-24 år"	"1990"	29	11	..
"Begge kjønn"	"16-24 år"	"1991"	29	13	..
