"09535: Konsultasjoner hos fastlegen, etter statistikkvariabel, år, kjønn, region og alder"
"statistikkvariabel";"år";"kjønn";"0 Hele landet Alle aldre";"31 Østfold Alle aldre";"32 Akershus Alle aldre";"03 Oslo - Oslove Alle aldre";"34 Innlandet Alle aldre";"33 Buskerud Alle aldre";"39 Vestfold Alle aldre";"40 Telemark Alle aldre";"42 Agder Alle aldre";"11 Rogaland Alle aldre";"46 Vestland Alle aldre";"15 Møre og Romsdal Alle aldre";"50 Trøndelag - Trööndelage Alle aldre";"18 Nordland - Nordlánnda Alle aldre";"55 Troms - Romsa - Tromssa Alle aldre";"56 Finnmark - Finnmárku - Finmarkku Alle aldre"
"Konsultasjoner per person";"2010";"Begge kjønn";2.5;.;.;2.4;.;.;.;.;.;2.4;.;2.6;.;2.6;.;.
"Konsultasjoner per person";"2011";"Begge kjønn";2.6;.;.;2.5;.;.;.;.;.;2.5;.;2.6;.;2.7;.;.
"Konsultasjoner per person";"2012";"Begge kjønn";2.6;.;.;2.5;.;.;.;.;.;2.5;.;2.6;.;2.7;.;.
"Konsultasjoner per person";"2013";"Begge kjønn";2.6;.;.;2.4;.;.;.;.;.;2.5;.;2.6;.;2.7;.;.
"Konsultasjoner per person";"2014";"Begge kjønn";2.6;.;.;2.5;.;.;.;.;.;2.5;.;2.6;.;2.7;.;.
"Konsultasjoner per person";"2015";"Begge kjønn";2.6;.;.;2.5;.;.;.;.;.;2.5;.;2.6;.;2.7;.;.
"Konsultasjoner per person";"2016";"Begge kjønn";2.6;.;.;2.5;.;.;.;.;.;2.6;.;2.7;.;2.6;.;.
"Konsultasjoner per person";"2017";"Begge kjønn";2.7;.;.;2.5;.;.;.;.;.;2.6;.;2.7;.;2.7;.;.
"Konsultasjoner per person";"2018";"Begge kjønn";2.7;.;.;2.4;.;.;.;.;.;2.7;.;2.7;2.6;2.6;.;.
"Konsultasjoner per person";"2019";"Begge kjønn";2.7;.;.;2.5;.;.;.;.;.;2.7;.;2.7;2.7;2.7;.;.
"Konsultasjoner per person";"2020";"Begge kjønn";2.8;.;.;2.7;2.9;.;.;.;2.9;2.8;2.7;2.8;2.9;2.7;.;.
"Konsultasjoner per person";"2021";"Begge kjønn";3.0;.;.;2.9;3.0;.;.;.;3.1;2.9;2.8;3.0;3.0;2.8;.;.
"Konsultasjoner per person";"2022";"Begge kjønn";3.0;.;.;2.9;3.1;.;.;.;3.0;2.9;2.9;3.0;2.9;2.8;.;.
"Konsultasjoner per person";"2023";"Begge kjønn";3.0;.;.;2.9;3.1;.;.;.;3.1;2.9;2.9;3.0;2.9;2.8;.;.
"Konsultasjoner per person";"2024";"Begge kjønn";3.0;3.2;3.1;2.9;3.1;3.2;3.3;3.0;3.1;2.8;2.9;3.0;3.0;2.9;3.1;2.9
