03723: Boligbygg, etter region, måned og statistikkvariabel;;;;;;;
;;;;;;;
region;måned;Igangsettingstillatelser boliger;Igangsettingstillatelser bruksareal (1 000 m²);Boliger under arbeid;Under arbeid, bruksareal (1 000 m²);Fullførte boliger;Fullført bruksareal (1 000 m²)
15 Møre og Romsdal;1993M01;26;04.apr;699;122.9;64;08.aug
15 Møre og Romsdal;1993M02;31;04.jan;656;118.2;71;08.mar
15 Møre og Romsdal;1993M03;87;12.jun;664;119.3;70;09.aug
15 Møre og Romsdal;1993M04;110;13.apr;687;119.0;78;10.jul
15 Møre og Romsdal;1993M05;46;08.feb;640;114.5;94;12.mai
15 Møre og Romsdal;1993M06;58;09.jul;669;118.5;31;06.mar
15 Møre og Romsdal;1993M07;55;10.0;688;120.7;30;06.sep
15 Møre og Romsdal;1993M08;89;14.feb;682;122.3;97;12.0
15 Møre og Romsdal;1993M09;106;18.mai;718;127.6;66;11.jan
15 Møre og Romsdal;1993M10;86;15.mai;728;130.5;74;12.mar
15 Møre og Romsdal;1993M11;135;14.sep;796;135.9;66;09.feb
15 Møre og Romsdal;1993M12;83;09.jun;758;128.7;126;17.jul
15 Møre og Romsdal;1994M01;35;6.0;748;127.9;43;6.0
15 Møre og Romsdal;1994M02;34;04.mar;718;122.3;66;10.0
15 Møre og Romsdal;1994M03;68;10.feb;715;121.1;67;11.jan
15 Møre og Romsdal;1994M04;143;18.mai;770;127.1;83;11.jul
15 Møre og Romsdal;1994M05;118;19.mai;821;135.4;67;11.0
15 Møre og Romsdal;1994M06;145;21.jan;875;143.5;93;13.apr
15 Møre og Romsdal;1994M07;82;14.aug;875;147.9;72;09.feb
15 Møre og Romsdal;1994M08;232;28.mai;961;161.4;148;14.0
15 Møre og Romsdal;1994M09;122;18.mai;1014;168.4;62;09.mai
15 Møre og Romsdal;1994M10;122;16.mai;1025;170.6;108;13.mar
15 Møre og Romsdal;1994M11;114;16.jul;1015;168.1;110;17.mar
15 Møre og Romsdal;1994M12;42;07.apr;939;155.9;96;16.jul
15 Møre og Romsdal;1995M01;67;09.aug;919;151.7;112;16.mar
15 Møre og Romsdal;1995M02;112;14.feb;949;154.6;85;12.feb
15 Møre og Romsdal;1995M03;51;08.mar;898;148.4;110;15.jul
15 Møre og Romsdal;1995M04;101;13.mai;915;147.8;78;12.sep
