spilleliste,spilleliste_id,artist,artist_id,album,album_id,sang,sang_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,0.58,0.338,0.34,0.0032,9.0,0.116,-12.049,0.0,0.0339,82.433,0.197
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,"Wednesday Morning, 3 A.M.",5pnJrocLlZ3FWEbcr2PTz0,The Sound of Silence - Acoustic Version,5y788ya4NvwhBznoDIcXwK,0.837,0.525,0.216,0.0,6.0,0.107,-13.551,1.0,0.0301,106.761,0.328
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,No Doubt,0cQbJU1aAzvbEmTuljWLlF,Tragic Kingdom,3VekjWskUut57hx6W9wqL8,Don't Speak,6urCAbunOQI4bLhmGpX7iS,0.247,0.52,0.709,1.78e-05,5.0,0.18,-7.125,0.0,0.0352,76.039,0.536
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Hotel California (2013 Remaster),2widuo17g5CEC66IbzveRu,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,0.00574,0.579,0.508,0.000494,2.0,0.0575,-9.484,1.0,0.027,147.125,0.609
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Pendulum (Expanded Edition),372cMadhAGlNuDnc8TssqF,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,0.0664,0.741,0.697,2.28e-05,0.0,0.133,-7.028,1.0,0.0277,116.109,0.774
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Imagine,0xzaemKucrJpYhyl7TltAk,Imagine - Remastered 2010,7pKfPomDEeI4TPT6EOYjn9,0.907,0.547,0.257,0.183,0.0,0.0935,-12.358,1.0,0.0252,75.752,0.169
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Otis Redding,60df5JBRRPcnSpsIMxxwQm,The Dock of the Bay (Mono),03HMOcANauhLD0WNrMkmLU,(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,0.683,0.768,0.367,1.79e-05,2.0,0.081,-11.226,1.0,0.0315,103.621,0.532
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Alphaville,0xliTEbFfy5HQHvsTknTkX,Forever Young,2256qKBSQdt53T5dz4Kdcs,Forever Young,4S1VYqwfkLit9mKVY3MXoo,0.417,0.489,0.482,0.00227,9.0,0.235,-9.466,0.0,0.0275,136.803,0.33
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Bridge Over Troubled Water,0JwHz5SSvpYWuuCNbtYZoV,Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,0.822,0.149,0.206,0.000649,3.0,0.115,-13.888,1.0,0.0323,79.764,0.264
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,A Long Time Ago,3xSnUENB3cm0t5AmYOwxRQ,0.365,0.648,0.841,0.00146,7.0,0.212,-6.825,1.0,0.0439,122.18,0.918
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Wild Colonial Boy,07NW7RpZaSe2ohHXADWhxz,0.324,0.604,0.818,4.8e-05,2.0,0.302,-6.642,1.0,0.0367,117.235,0.851
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,New York Girls,7ystruSVS7DIx65L6Wiulf,0.567,0.678,0.903,5.49e-06,7.0,0.301,-5.43,1.0,0.0781,124.401,0.687
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,...But Seriously (Deluxe Edition),2sS9l8uc3d3UsK9unJyrD8,Another Day in Paradise - 2016 Remaster,1NCuYqMc8hKMb4cpNTcJbD,0.736,0.78,0.565,0.00269,3.0,0.063,-7.32,0.0,0.0306,101.967,0.365
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,Please Forgive Me,7fpBtc7p3hFrEbDVc32ltY,0.576,0.565,0.427,2.39e-06,9.0,0.102,-8.273,1.0,0.0266,67.007,0.15
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,Procol Harum,0GbqW5TJr7n4is453VOY4C,A Whiter Shade Of Pale (Live),5XAItCTq6yO4j3jTBjBZhA,A Whiter Shade Of Pale - Live,4X705JSPvEzEUuP0Oe0HoE,0.841,0.263,0.624,0.507,0.0,0.975,-7.583,1.0,0.0549,131.99,0.2
"Procol Harum - A Whiter Shade Of Pale (Live in Ledreborg) - Live in Ledreborg, Denmark",7ij6XxgvHfDBqXSCxgYUt2,The Animals,3ICflSq6ZgYAIrm2CTkfVP,The Singles Plus,1v4O55JGou3T0Vlj06fdXz,House of the Rising Sun,4mn2kNTqiGLwaUR8JdhJ1l,0.000334,0.316,0.484,0.00445,9.0,0.0912,-9.11,0.0,0.0308,117.363,0.299
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Reels: The Clare Reel / The Dawn Reel,4A7RPj8vB7XOIqrCuNvOrY,0.775,0.485,0.852,0.938,7.0,0.304,-6.09,1.0,0.0487,113.079,0.961
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Her Wonderful Ass,4Cq3lS7C6Xzs5MNcf5IsWb,0.686,0.756,0.858,0.00112,7.0,0.156,-6.897,1.0,0.0825,102.972,0.923
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Come Away with Me,2Oe5KIEyP81bx265uJfUF9,0.696,0.689,0.706,0.000518,0.0,0.235,-8.765,1.0,0.0361,117.97,0.862
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,What Would You Do,4VOezIH464dEflFiFcXZZY,0.531,0.728,0.878,0.0361,7.0,0.145,-7.44,1.0,0.0553,133.908,0.864
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Raise a Glass to St. Patrick,2HKrkEN7ZSoDvF0h7K4IYi,0.134,0.312,0.73,0.0,7.0,0.359,-6.583,1.0,0.0526,204.143,0.628
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Rovers Farewell,4AmAt1vZR67YmgIS47SZy5,0.517,0.416,0.665,0.000272,2.0,0.792,-7.086,1.0,0.0386,80.072,0.599
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Whistling Gypsy,35lraMCDdvOEpsLSJlbi06,0.397,0.59,0.735,0.00673,7.0,0.295,-6.059,1.0,0.0341,127.842,0.851
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Lily the Pink,183slHs3D28VIskR7NfLdj,0.523,0.673,0.864,8.4e-06,6.0,0.468,-6.942,0.0,0.0572,129.93,0.836
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Lewis Bridal Song / Mairi's Wedding,0ISPkFaqNPcGnfyyLZVeSj,0.366,0.676,0.92,0.0206,2.0,0.233,-5.87,1.0,0.0344,119.931,0.971
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,She Took Me by the Hand,0XCzYLV4SJ5uf9Ml9pWOBt,0.62,0.644,0.791,0.00283,7.0,0.15,-8.199,1.0,0.0581,119.698,0.917
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Dear Little Shamrock Shore,3epSYVfon5wIQZo0yH6oUH,0.728,0.356,0.493,7.74e-05,0.0,0.0822,-8.786,1.0,0.0358,156.519,0.242
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Rambling Boys of Pleasure,0mqXpf6Gu83wUNI0wlHLbU,0.158,0.682,0.93,0.00513,2.0,0.093,-6.225,1.0,0.054,117.245,0.962
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Pheasant Plucker’s Son,3F6IesT7BvtSJMEed8zFwE,0.707,0.636,0.83,0.021,5.0,0.395,-6.985,1.0,0.0509,176.122,0.966
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Boolevogue,7tLO2D8vbA7TLxra4aVxhi,0.752,0.185,0.375,0.243,7.0,0.143,-8.721,1.0,0.0362,119.817,0.141
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Dark Island,4ftS2wN4sbJJ1YrBzLppYM,0.639,0.188,0.276,0.56,2.0,0.675,-9.79,1.0,0.032,69.179,0.0807
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Rare Ould Mountain Dew,01fZMMJLOtLKymmTNAGwsF,0.541,0.743,0.939,0.000474,10.0,0.191,-6.396,1.0,0.0658,115.946,0.926
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Gracehill Fair,43ymtdijQIgLO4X04BDOYQ,0.689,0.653,0.788,0.00177,0.0,0.289,-6.956,0.0,0.0414,120.304,0.918
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Whiskey in the Jar,7Cz1Ad3RNzshbx4G42fqxW,0.0491,0.622,0.873,0.004,2.0,0.336,-7.096,1.0,0.049,124.106,0.907
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,The Titanic,2TugfwRbXcSxiNe4aiDJPc,0.517,0.483,0.775,0.0231,2.0,0.14,-5.669,1.0,0.0494,177.893,0.332
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Whores and Hounds,2dZ4q8f8uxhpsN1Ikxc76j,0.164,0.568,0.869,0.000113,2.0,0.184,-7.252,1.0,0.0435,135.883,0.648
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Drunken Sailor,0jAX08ggXKhk65E1838AIW,0.504,0.64,0.912,0.138,2.0,0.0996,-5.12,1.0,0.0413,121.892,0.957
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Kellswater,5PM1PxjegYoTHp7rwrOYcR,0.707,0.574,0.326,0.0,0.0,0.152,-11.024,1.0,0.0281,109.337,0.452
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,The Bonny Lady,743nGk8vVvmJWSKfdm3OfR,0.629,0.631,0.839,9.95e-06,3.0,0.237,-6.316,1.0,0.0364,118.567,0.961
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 1,4myZOIXY0re1KKU0JHbhSa,Jigs: Sweet Biddy Daly / Tatter Jack Walsh / Rakes of Kildare / The Rambling Pitchfork,7xUbt3g2pyCdODuOe8BIkY,0.0435,0.562,0.782,0.41,7.0,0.314,-8.181,1.0,0.0555,128.62,0.751
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,The Hermit,4OZfE0mMo7DZvAksQwjEwl,0.615,0.502,0.763,0.00233,7.0,0.241,-7.179,1.0,0.163,145.552,0.955
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Dunluce Castle,4qv6gOSsL0AJkixDFhNl8w,0.472,0.58,0.837,0.577,7.0,0.34,-6.037,1.0,0.0576,98.136,0.698
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Little Skillet Pot,3rfk3k4IQkz9hhDfbstkSI,0.424,0.346,0.841,0.00392,2.0,0.367,-6.654,1.0,0.0652,129.887,0.892
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Up Among the Heather,2d5aZwZBdG7FDDmwihPB7z,0.419,0.396,0.958,0.0474,4.0,0.241,-5.467,0.0,0.0592,96.242,0.898
The Irish Rovers,21lGpvhev1LjKuV2jauZiC,The Irish Rovers,0tkKwWigaADLYB9HdFCjYo,The Irish Rovers 50 Years - Vol. 2,09ey8sfDYNbnXXS8ejd4Sa,Rory Murphy,6x9JntKUWOAdNSJ2ccUWTt,0.627,0.659,0.697,7.53e-06,9.0,0.125,-8.037,1.0,0.039,98.279,0.716
