"materialtype"	"behandlingsmåte"	"Avfallsmengde 2015"	"Avfallsmengde 2022"
"I alt, uten lett forurensede masser"	"Avfallsbehandling i alt"	893	1210
"I alt, uten lett forurensede masser"	"Levert til materialgjenvinning"	398	425
"I alt, uten lett forurensede masser"	"Levert til kompostering"	23	5
"I alt, uten lett forurensede masser"	"Levert til biogassbehandling"	70	40
"I alt, uten lett forurensede masser"	"Levert til forbrenning"	128	278
"I alt, uten lett forurensede masser"	"Brukt som fyll- og/eller dekkmasse"	9	8
"I alt, uten lett forurensede masser"	"Levert til deponering"	125	154
"I alt, uten lett forurensede masser"	"Annen behandling"	42	120
"I alt, uten lett forurensede masser"	"Levert til ukjent behandling"	97	179
"Våtorganisk avfall"	"Avfallsbehandling i alt"	117	77
"Våtorganisk avfall"	"Levert til materialgjenvinning"	25	8
"Våtorganisk avfall"	"Levert til kompostering"	16	2
"Våtorganisk avfall"	"Levert til biogassbehandling"	53	12
"Våtorganisk avfall"	"Levert til forbrenning"	16	33
"Våtorganisk avfall"	"Brukt som fyll- og/eller dekkmasse"	0	0
"Våtorganisk avfall"	"Levert til deponering"	2	3
"Våtorganisk avfall"	"Annen behandling"	5	13
"Våtorganisk avfall"	"Levert til ukjent behandling"	0	7
"Park- og hageavfall"	"Avfallsbehandling i alt"	0	3
"Park- og hageavfall"	"Levert til materialgjenvinning"	0	0
"Park- og hageavfall"	"Levert til kompostering"	0	0
"Park- og hageavfall"	"Levert til biogassbehandling"	0	0
"Park- og hageavfall"	"Levert til forbrenning"	0	2
"Park- og hageavfall"	"Brukt som fyll- og/eller dekkmasse"	0	0
"Park- og hageavfall"	"Levert til deponering"	0	0
"Park- og hageavfall"	"Annen behandling"	0	0
"Park- og hageavfall"	"Levert til ukjent behandling"	0	0
"Treavfall"	"Avfallsbehandling i alt"	66	126
"Treavfall"	"Levert til materialgjenvinning"	25	51
"Treavfall"	"Levert til kompostering"	1	0
"Treavfall"	"Levert til biogassbehandling"	0	0
"Treavfall"	"Levert til forbrenning"	36	55
