data.id,,analyse,post
1hpjdlv,0,1,0
1hpjdlv,1,0,0
1hpjdlv,2,-1,0
1hpjdlv,3,-1,0
1hpjdlv,4,1,0
1hpjdlv,5,-1,0
1hpjdlv,6,1,0
1hpjdlv,7,-1,0
1hpjdlv,8,1,0
1hpjdlv,9,0,0
1hpjdlv,10,-1,0
1hpjdlv,11,-1,0
1hpjdlv,12,1,0
1hpjdlv,13,0,0
1hpjdlv,14,-1,0
1hpjdlv,15,1,0
1hpjdlv,16,0,0
1hpjdlv,17,0,0
1hpjdlv,18,-1,0
1hpjdlv,19,0,0
1hpjdlv,20,-1,0
1hpjdlv,21,0,0
1hpjdlv,22,-1,0
1hpjdlv,23,1,0
1hpjdlv,24,0,0
1hpjdlv,25,-1,0
1hpjdlv,26,0,0
1hpjdlv,27,1,0
1hpjdlv,28,0,0
1hpjdlv,29,0,0
1hpjdlv,30,0,0
1hpjdlv,31,0,0
1hpjdlv,32,0,0
1hpjdlv,33,0,0
1hpjdlv,34,0,0
1hpjdlv,35,0,0
1hpjdlv,36,0,0
1hpjdlv,37,-1,0
1hpjdlv,38,0,0
1hpjdlv,39,0,0
1hpjdlv,40,0,0
1hpjdlv,41,0,0
1hpjdlv,42,1,0
1hpjdlv,43,-1,0
1hpjdlv,44,0,0
1hpjdlv,45,0,0
1hpjdlv,46,-1,0
1hpjdlv,47,0,0
1hpjdlv,48,0,0
1hpjdlv,49,-1,0
1hpjdlv,50,0,0
1hpjdlv,51,-1,0
1hpjdlv,52,0,0
1hpjdlv,53,1,0
1hpjdlv,54,0,0
1hpjdlv,55,-1,0
1hpjdlv,56,-1,0
1hpjdlv,57,0,0
1hpjdlv,58,-1,0
1hpjdlv,59,-1,0
1hpjdlv,60,0,0
1hpjdlv,61,0,0
1hpjdlv,62,0,0
1hpjdlv,63,0,0
1hpjdlv,64,0,0
1hpjdlv,65,0,0
1hpjdlv,66,0,0
1hpjdlv,67,0,0
1hpjdlv,68,0,0
1hpjdlv,69,0,0
1hpjdlv,70,0,0
1hpjdlv,71,-1,0
1hpjdlv,72,0,0
1hpjdlv,73,0,0
1hpjdlv,74,0,0
1hpjdlv,75,0,0
1hpjdlv,76,0,0
1hpjdlv,77,0,0
1hpjdlv,78,0,0
1hpjdlv,79,0,0
1hpjdlv,80,0,0
1hpjdlv,81,0,0
1hpjdlv,82,0,0
1hpjdlv,83,0,0
1hpjdlv,84,0,0
1hpjdlv,85,0,0
1hpjdlv,86,0,0
1hpjdlv,87,0,0
1hpjdlv,88,0,0
1hpjdlv,89,0,0
1hpjdlv,90,0,0
1hpjdlv,91,0,0
1hpjdlv,92,0,0
1hpjdlv,93,0,0
1hpjdlv,94,0,0
1hpjdlv,95,0,0
1hpjdlv,96,0,0
1hpjdlv,97,0,0
1hpjdlv,98,0,0
1hpjdlv,99,0,0
1hpjdlv,100,0,0
1hpjdlv,101,0,0
1hpjdlv,102,0,0
1hpjdlv,103,0,0
1hpjdlv,104,0,0
1hpjdlv,105,0,0
1hpjdlv,106,0,0
1hpjdlv,107,0,0
1hpjdlv,108,0,0
1hpjdlv,109,0,0
1hpjdlv,110,0,0
1hpjdlv,111,0,0
1hpjdlv,112,0,0
1hpjdlv,113,0,0
1hpjdlv,114,0,0
1hpjdlv,115,0,0
1hpjdlv,116,0,0
1hpjdlv,117,0,0
1hpjdlv,118,0,0
1hpjdlv,119,0,0
1hpjdlv,120,0,0
1hpjdlv,121,0,0
1hpjdlv,122,0,0
1hpjdlv,123,0,0
1hpjdlv,124,0,0
1hpjdlv,125,0,0
1hpjdlv,126,0,0
1hpjdlv,127,0,0
1hpjdlv,128,0,0
1hpjdlv,129,0,0
1hpjdlv,130,0,0
1hpjdlv,131,0,0
1hpjdlv,132,0,0
1hpjdlv,133,0,0
1hpjdlv,134,0,0
1hpjdlv,135,0,0
1hpjdlv,136,0,0
1hpjdlv,137,0,0
1hpjdlv,138,-1,0
1hpjdlv,139,0,0
1hpjdlv,140,0,0
1hpjdlv,141,0,0
1hpjdlv,142,0,0
1hpjdlv,143,0,0
1hpjdlv,144,0,0
1hpjdlv,145,0,0
1hpjdlv,146,0,0
1hpjdlv,147,0,0
1hpjdlv,148,0,0
1hpjdlv,149,0,0
1hpjdlv,150,0,0
1hpjdlv,151,0,0
1hpjdlv,152,0,0
1hpjdlv,153,0,0
1hpjdlv,154,0,0
1hpjdlv,155,0,0
1hpjdlv,156,0,0
1hpjdlv,157,0,0
1hpjdlv,158,0,0
1hpjdlv,159,0,0
1hpjdlv,160,0,0
1hpjdlv,161,0,0
1hpjdlv,162,0,0
1hpjdlv,163,0,0
1hpjdlv,164,0,0
1hpjdlv,165,0,0
1hpjdlv,166,0,0
1hpjdlv,167,0,0
1hqaed4,0,0,0
1hqaed4,1,0,0
1hqaed4,2,0,0
1hqaed4,3,0,0
1hqaed4,4,1,0
1hqaed4,5,-1,0
1hqaed4,6,1,0
1hqaed4,7,0,0
1hqaed4,8,1,0
1hqaed4,9,1,0
1hqaed4,10,-1,0
1hqaed4,11,0,0
1hqaed4,12,0,0
1hqaed4,13,0,0
1hqaed4,14,0,0
1hqaed4,15,0,0
1hqaed4,16,1,0
1hqaed4,17,0,0
1hqaed4,18,1,0
1hqaed4,19,0,0
1hqaed4,20,0,0
1hqaed4,21,0,0
1hqaed4,22,0,0
1hqaed4,23,1,0
1hqaed4,24,-1,0
1hqaed4,25,0,0
1hqaed4,26,1,0
1hqaed4,27,0,0
1hqaed4,28,0,0
1hqaed4,29,-1,0
1hqaed4,30,-1,0
1hqaed4,31,-1,0
1hqaed4,32,1,0
1hqaed4,33,1,0
1hqaed4,34,1,0
1hqaed4,35,1,0
1hqaed4,36,1,0
1hqaed4,37,1,0
1hr5g73,0,1,0
1hr5g73,1,1,0
1hr5g73,2,0,0
1hr5g73,3,0,0
1hr5g73,4,1,0
1hr5g73,5,1,0
1hr5g73,6,1,0
1hr5g73,7,1,0
1hr5g73,8,1,0
1hr5g73,9,0,0
1hr5g73,10,0,0
1hr5g73,11,1,0
1hr5g73,12,0,0
1hr5g73,13,0,0
1hr5g73,14,1,0
1hr5g73,15,1,0
1hr5g73,16,1,0
1hr5g73,17,-1,0
1hr5g73,18,0,0
1hr5g73,19,1,0
1hr5g73,20,-1,0
1hr5g73,21,1,0
1hr5g73,22,0,0
1hr5g73,23,1,0
1hr5g73,24,0,0
1hr5g73,25,1,0
1hr5g73,26,1,0
1hr5g73,27,1,0
1hr5g73,28,0,0
1hr5g73,29,0,0
1hr5g73,30,0,0
1hr5g73,31,1,0
1hr5g73,32,0,0
1hr5g73,33,0,0
1hr5g73,34,0,0
1hr5g73,35,0,0
1hr5g73,36,0,0
1hr5g73,37,0,0
1hr5g73,38,0,0
1hr5g73,39,0,0
1hrpn9s,0,-1,0
1hrpn9s,1,0,0
1hrpn9s,2,1,0
1hrpn9s,3,-1,0
1hrpn9s,4,0,0
1hrpn9s,5,-1,0
1hrpn9s,6,1,0
1hrpn9s,7,-1,0
1hrpn9s,8,1,0
1hrpn9s,9,1,0
1hrpn9s,10,1,0
1hrpn9s,11,-1,0
1hrpn9s,12,0,0
1hrpn9s,13,0,0
1hrpn9s,14,0,0
1hrpn9s,15,0,0
1hrpn9s,16,-1,0
1hrpn9s,17,-1,0
1hrpn9s,18,0,0
1hrpn9s,19,0,0
1hrpn9s,20,0,0
1hrpn9s,21,0,0
1hrpn9s,22,0,0
1hrpn9s,23,0,0
1hrpn9s,24,0,0
1hrpn9s,25,-1,0
1hrpn9s,26,0,0
1hrpn9s,27,1,0
1hrpn9s,28,0,0
1hrpn9s,29,0,0
1hrpn9s,30,0,0
1hrpn9s,31,0,0
1hrpn9s,32,-1,0
1hrpn9s,33,0,0
1hrpn9s,34,1,0
1hrpn9s,35,0,0
1hrpn9s,36,0,0
1hrpn9s,37,1,0
1hrpn9s,38,0,0
1hrpn9s,39,-1,0
1hrpn9s,40,0,0
1hrpn9s,41,-1,0
1hrpn9s,42,0,0
1hrpn9s,43,0,0
1hrpn9s,44,0,0
1hrpn9s,45,-1,0
1hrpn9s,46,0,0
1hrpn9s,47,0,0
1hrpn9s,48,0,0
1hrpn9s,49,0,0
1hrpn9s,50,-1,0
1hrpn9s,51,-1,0
1hrpn9s,52,0,0
1hrpn9s,53,0,0
1hrpn9s,54,-1,0
1hrpn9s,55,-1,0
1hrpn9s,56,-1,0
1hrpn9s,57,0,0
1hrpn9s,58,1,0
1hrpn9s,59,-1,0
1hrpn9s,60,0,0
1hrpn9s,61,-1,0
1hrpn9s,62,0,0
1hrpn9s,63,0,0
1hrpn9s,64,1,0
1hrpn9s,65,1,0
1hrpn9s,66,1,0
1hrpn9s,67,0,0
1hrpn9s,68,0,0
1hrpn9s,69,1,0
1hrpn9s,70,1,0
1hrpn9s,71,1,0
1hrpn9s,72,0,0
1hrpn9s,73,0,0
1hrpn9s,74,0,0
1hrpn9s,75,0,0
1hrpn9s,76,0,0
1hrpn9s,77,1,0
1hrpn9s,78,1,0
1hrpn9s,79,-1,0
1hrpn9s,80,1,0
1hrpn9s,81,1,0
1hrpn9s,82,0,0
1hrpn9s,83,1,0
1hrpn9s,84,-1,0
1hrpn9s,85,0,0
1hrpn9s,86,0,0
1hrpn9s,87,1,0
1hrpn9s,88,0,0
1hrpn9s,89,1,0
1hrpn9s,90,0,0
1hrpn9s,91,0,0
1hrpn9s,92,-1,0
1hrpn9s,93,0,0
1hrpn9s,94,0,0
1hrpn9s,95,-1,0
1hrpn9s,96,1,0
1hrpn9s,97,-1,0
1hrpn9s,98,1,0
1hrpn9s,99,0,0
1hrpn9s,100,0,0
1hrpn9s,101,0,0
1hrpn9s,102,0,0
1hrpn9s,103,0,0
1hrpn9s,104,0,0
1hrpn9s,105,-1,0
1hrpn9s,106,1,0
1hrpn9s,107,-1,0
1hrpn9s,108,0,0
1hrpn9s,109,0,0
1hrpn9s,110,0,0
1hrpn9s,111,0,0
1hrpn9s,112,-1,0
1hrpn9s,113,1,0
1hrpn9s,114,0,0
1hrpn9s,115,0,0
1hrpn9s,116,0,0
1hrpn9s,117,0,0
1hrpn9s,118,0,0
1hrpn9s,119,0,0
1hrpn9s,120,0,0
1hrpn9s,121,0,0
1hrpn9s,122,0,0
1hrpn9s,123,0,0
1hrpn9s,124,0,0
1hrpn9s,125,0,0
1hrpn9s,126,0,0
1hrpn9s,127,0,0
1hrpn9s,128,1,0
1hrpn9s,129,-1,0
1hrpn9s,130,0,0
1hrpn9s,131,0,0
1hrpn9s,132,0,0
1hrpn9s,133,0,0
1hrpn9s,134,0,0
1hrpn9s,135,0,0
1hrpn9s,136,-1,0
1hrpn9s,137,1,0
1hrpn9s,138,0,0
1hrpn9s,139,-1,0
1hrpn9s,140,-1,0
1hrpn9s,141,0,0
1hrpn9s,142,0,0
1hrpn9s,143,0,0
1hrpn9s,144,0,0
1hrpn9s,145,0,0
1hrpn9s,146,0,0
1hrpn9s,147,0,0
1hrpn9s,148,0,0
1hrpn9s,149,0,0
1hrpn9s,150,0,0
1hrpn9s,151,0,0
1hrpn9s,152,-1,0
1hrpn9s,153,-1,0
1hrpn9s,154,1,0
1hrpn9s,155,0,0
1hrpn9s,156,0,0
1hrpn9s,157,0,0
1hrpn9s,158,0,0
1hrpn9s,159,0,0
1hrpn9s,160,1,0
1hrpn9s,161,0,0
1hrpn9s,162,0,0
1hrpn9s,163,0,0
1hrpn9s,164,0,0
1hrpn9s,165,-1,0
1hrpn9s,166,1,0
1hrpn9s,167,-1,0
1hrpn9s,168,-1,0
1hrpn9s,169,0,0
1hrpn9s,170,0,0
1hrpn9s,171,0,0
1hrpn9s,172,0,0
1hrpn9s,173,1,0
1hrpn9s,174,0,0
1hrpn9s,175,-1,0
1hrpn9s,176,0,0
1hrpn9s,177,0,0
1hrpn9s,178,0,0
1hrpn9s,179,0,0
1hrpn9s,180,-1,0
1hrpn9s,181,0,0
1hrpn9s,182,0,0
1hrpn9s,183,0,0
1hrpn9s,184,0,0
1hrpn9s,185,0,0
1hrpn9s,186,0,0
1hrpn9s,187,0,0
1hrpn9s,188,0,0
1hrpn9s,189,0,0
1hrpn9s,190,0,0
1hrpn9s,191,0,0
1hrpn9s,192,0,0
1hrpn9s,193,0,0
1hrpn9s,194,0,0
1hsp1oh,0,0,1
1hsp1oh,1,1,1
1hsp1oh,2,1,1
1hsp1oh,3,0,1
1hsp1oh,4,-1,1
1hsp1oh,5,0,1
1hsp1oh,6,0,1
1hsp1oh,7,0,1
1hsp1oh,8,-1,1
1hsp1oh,9,1,1
1hsp1oh,10,0,1
1hsp1oh,11,1,1
1hsp1oh,12,-1,1
1hsp1oh,13,-1,1
1hsp1oh,14,0,1
1hsp1oh,15,0,1
1hsp1oh,16,0,1
1hsp1oh,17,1,1
1hsp1oh,18,0,1
1hsp1oh,19,0,1
1hsp1oh,20,0,1
1hsp1oh,21,1,1
1hsp1oh,22,0,1
1hsp1oh,23,0,1
1hsp1oh,24,0,1
1hsp1oh,25,0,1
1hsp1oh,26,0,1
1hsp1oh,27,0,1
1hsp1oh,28,1,1
1hsp1oh,29,-1,1
1hsp1oh,30,1,1
1hsp1oh,31,1,1
1hsp1oh,32,1,1
1hsp1oh,33,1,1
1hsp1oh,34,1,1
1hsp1oh,35,1,1
1hsp1oh,36,0,1
1hsp1oh,37,-1,1
1hsp1oh,38,-1,1
1hsp1oh,39,0,1
1hsp1oh,40,0,1
1hsp1oh,41,0,1
1hsp1oh,42,0,1
1hsp1oh,43,-1,1
1hsp1oh,44,-1,1
1hsp1oh,45,0,1
1hsp1oh,46,-1,1
1hsp1oh,47,-1,1
1hsp1oh,48,-1,1
1hsp1oh,49,0,1
1hsp1oh,50,0,1
1hsp1oh,51,0,1
1hsp1oh,52,-1,1
1hsp1oh,53,-1,1
1hsp1oh,54,-1,1
1htgnq2,0,1,0
1htgnq2,1,1,0
1htgnq2,2,1,0
1htgnq2,3,0,0
1htgnq2,4,0,0
1htgnq2,5,1,0
1htgnq2,6,0,0
1htgnq2,7,0,0
1htgnq2,8,0,0
1htgnq2,9,0,0
1htgnq2,10,0,0
1htgnq2,11,0,0
1htgnq2,12,0,0
1htgnq2,13,0,0
1htgnq2,14,1,0
1htgnq2,15,0,0
1htmc7o,0,-1,0
1htmc7o,1,0,0
1htmc7o,2,0,0
1htmc7o,3,0,0
1htmc7o,4,0,0
1htmc7o,5,1,0
1htmc7o,6,0,0
1htmc7o,7,0,0
1htmc7o,8,-1,0
1htmc7o,9,-1,0
1htmc7o,10,0,0
1htmc7o,11,-1,0
1htmc7o,12,-1,0
1htmc7o,13,0,0
1htmc7o,14,0,0
1htmc7o,15,-1,0
1htmc7o,16,0,0
1htmc7o,17,0,0
1htmc7o,18,0,0
1htmc7o,19,0,0
1htmc7o,20,0,0
1htmc7o,21,0,0
1htmc7o,22,0,0
1htmc7o,23,0,0
1htmc7o,24,-1,0
1htmc7o,25,1,0
1htmc7o,26,1,0
1htmc7o,27,1,0
1htmc7o,28,-1,0
1htmc7o,29,0,0
1htmc7o,30,0,0
1htmc7o,31,0,0
1htmc7o,32,0,0
1htmc7o,33,0,0
1htmc7o,34,0,0
1htmc7o,35,0,0
1htmc7o,36,0,0
1htmc7o,37,0,0
1htmc7o,38,0,0
1htmc7o,39,0,0
1htmc7o,40,0,0
1htmc7o,41,0,0
1htmc7o,42,0,0
1htmc7o,43,0,0
1htmc7o,44,0,0
1htmc7o,45,0,0
1htmc7o,46,0,0
1htmc7o,47,0,0
1htmc7o,48,0,0
1htmc7o,49,0,0
1htmc7o,50,0,0
1htmc7o,51,0,0
1htmc7o,52,1,0
1htmc7o,53,1,0
1htmc7o,54,0,0
1htmc7o,55,0,0
1htmc7o,56,1,0
1htmc7o,57,1,0
1htmc7o,58,0,0
1htmc7o,59,0,0
1htmc7o,60,0,0
1htmc7o,61,0,0
1htmc7o,62,0,0
1htmc7o,63,1,0
1htmc7o,64,1,0
1htmc7o,65,0,0
1htmc7o,66,0,0
1htmc7o,67,0,0
1htmc7o,68,0,0
1htmc7o,69,-1,0
1hto20s,0,0,0
1hto20s,1,0,0
1hto20s,2,0,0
1hto20s,3,0,0
1hto20s,4,-1,0
1hto20s,5,1,0
1hto20s,6,0,0
1hto20s,7,0,0
1hto20s,8,1,0
1hto20s,9,0,0
1hto20s,10,1,0
1hto20s,11,0,0
1hto20s,12,0,0
1hto20s,13,0,0
1hto20s,14,0,0
1hto20s,15,0,0
1hto20s,16,0,0
1hto20s,17,1,0
1hto20s,18,1,0
1hto20s,19,-1,0
1hto20s,20,-1,0
1hto20s,21,1,0
1hto20s,22,0,0
1hto20s,23,0,0
1hto20s,24,1,0
1hto20s,25,0,0
1hto20s,26,-1,0
1hto20s,27,0,0
1hto20s,28,-1,0
1hto20s,29,-1,0
1hto20s,30,0,0
1hto20s,31,-1,0
1huqhmv,0,0,0
1huqhmv,1,0,0
1huqhmv,2,0,0
1huqhmv,3,0,0
1huqhmv,4,0,0
1huqhmv,5,0,0
1huqhmv,6,-1,0
1huqhmv,7,0,0
1huqhmv,8,0,0
1huqhmv,9,0,0
1huqhmv,10,0,0
1huqhmv,11,0,0
1huqhmv,12,0,0
1huqhmv,13,0,0
1huqhmv,14,0,0
1huqhmv,15,-1,0
1huqhmv,16,0,0
1huqhmv,17,0,0
1huqhmv,18,0,0
1huqhmv,19,0,0
1huqhmv,20,0,0
1huqhmv,21,0,0
1huqhmv,22,0,0
1huqhmv,23,0,0
1huqhmv,24,0,0
1huqhmv,25,0,0
1huqhmv,26,-1,0
1huqhmv,27,0,0
1huqhmv,28,0,0
1huqhmv,29,0,0
1huqhmv,30,0,0
1huqhmv,31,-1,0
1hvdi6l,0,0,0
1hvdi6l,1,-1,0
1hvdi6l,2,0,0
1hvdi6l,3,-1,0
1hvdi6l,4,1,0
1hvdi6l,5,-1,0
1hvdi6l,6,0,0
1hvdi6l,7,1,0
1hvdi6l,8,1,0
1hvdi6l,9,1,0
