data.id,,kommentarnummer,analyse,post
1huqhmv,0,0.0,0.0,0
1huqhmv,1,1.0,0.0,0
1huqhmv,2,2.0,-1.0,0
1huqhmv,3,3.0,-1.0,0
1huqhmv,4,4.0,0.0,0
1huqhmv,5,5.0,-1.0,0
1huqhmv,6,6.0,-1.0,0
1huqhmv,7,7.0,0.0,0
1huqhmv,8,8.0,0.0,0
1huqhmv,9,9.0,-1.0,0
1huqhmv,10,10.0,0.0,0
1huqhmv,11,11.0,0.0,0
1huqhmv,12,12.0,0.0,0
1huqhmv,13,13.0,0.0,0
1huqhmv,14,14.0,0.0,0
1huqhmv,15,15.0,-1.0,0
1huqhmv,16,16.0,0.0,0
1huqhmv,17,17.0,0.0,0
1huqhmv,18,18.0,0.0,0
1huqhmv,19,19.0,0.0,0
1huqhmv,20,20.0,0.0,0
1huqhmv,21,21.0,0.0,0
1huqhmv,22,22.0,0.0,0
1huqhmv,23,23.0,0.0,0
1huqhmv,24,24.0,0.0,0
1huqhmv,25,25.0,0.0,0
1huqhmv,26,26.0,-1.0,0
1huqhmv,27,27.0,0.0,0
1huqhmv,28,28.0,0.0,0
1huqhmv,29,29.0,0.0,0
1huqhmv,30,30.0,0.0,0
1huqhmv,31,31.0,-1.0,0
1hvdi6l,0,0.0,0.0,0
1hvdi6l,1,1.0,-1.0,0
1hvdi6l,2,2.0,0.0,0
1hvdi6l,3,3.0,-1.0,0
1hvdi6l,4,4.0,1.0,0
1hvdi6l,5,5.0,-1.0,0
1hvdi6l,6,6.0,0.0,0
1hvdi6l,7,7.0,1.0,0
1hvdi6l,8,8.0,1.0,0
1hvdi6l,9,9.0,1.0,0
1hvdi6l,10,10.0,0.0,0
1hvdi6l,11,11.0,1.0,0
1hvdi6l,12,12.0,1.0,0
1hvdi6l,13,13.0,0.0,0
1hvdi6l,14,14.0,0.0,0
1hvdi6l,15,15.0,0.0,0
1hvdi6l,16,16.0,1.0,0
1hvdi6l,17,17.0,0.0,0
1hvdi6l,18,18.0,1.0,0
1hvdi6l,19,19.0,1.0,0
1hvdi6l,20,20.0,-1.0,0
1hvdi6l,21,21.0,1.0,0
1hvdi6l,22,22.0,0.0,0
1hvdi6l,23,23.0,-1.0,0
1hvdi6l,24,24.0,1.0,0
1hvdi6l,25,25.0,0.0,0
1hvdi6l,26,26.0,0.0,0
1hvdi6l,27,27.0,1.0,0
1hvdi6l,28,28.0,-1.0,0
1hvdi6l,29,29.0,-1.0,0
1hvdi6l,30,30.0,-1.0,0
1hvdi6l,31,31.0,0.0,0
1hvdi6l,32,32.0,0.0,0
1hvdi6l,33,33.0,0.0,0
1hvdi6l,34,34.0,1.0,0
1hvdi6l,35,35.0,1.0,0
1hvdi6l,36,36.0,-1.0,0
1hvdi6l,37,37.0,1.0,0
1hvdi6l,38,38.0,1.0,0
1hvdi6l,39,39.0,1.0,0
1hvdi6l,40,40.0,0.0,0
1hvdi6l,41,41.0,0.0,0
1hveydk,0,0.0,1.0,0
1hveydk,1,1.0,0.0,0
1hveydk,2,2.0,0.0,0
1hveydk,3,3.0,-1.0,0
1hveydk,4,4.0,1.0,0
1hveydk,5,5.0,1.0,0
1hveydk,6,6.0,0.0,0
1hveydk,7,7.0,1.0,0
1hveydk,8,8.0,1.0,0
1hveydk,9,9.0,1.0,0
1hveydk,10,10.0,1.0,0
1hveydk,11,11.0,0.0,0
1hveydk,12,12.0,0.0,0
1hveydk,13,13.0,1.0,0
1hveydk,14,14.0,1.0,0
1hveydk,15,15.0,1.0,0
1hveydk,16,16.0,1.0,0
1hveydk,17,17.0,0.0,0
1hveydk,18,18.0,1.0,0
1hveydk,19,19.0,0.0,0
1hveydk,20,20.0,0.0,0
1hveydk,21,21.0,0.0,0
1hveydk,22,22.0,1.0,0
1hveydk,23,23.0,1.0,0
1hveydk,24,24.0,1.0,0
1hveydk,25,25.0,1.0,0
1hveydk,26,26.0,1.0,0
1hveydk,27,27.0,0.0,0
1hveydk,28,28.0,0.0,0
1hveydk,29,29.0,0.0,0
1hveydk,30,30.0,0.0,0
1hveydk,31,31.0,0.0,0
1hveydk,32,32.0,0.0,0
1hveydk,33,33.0,1.0,0
1hveydk,34,34.0,1.0,0
1hveydk,35,35.0,0.0,0
1hveydk,36,36.0,0.0,0
1hveydk,37,37.0,0.0,0
1hwknl0,0,0.0,1.0,0
1hwknl0,1,1.0,-1.0,0
1hwknl0,2,2.0,1.0,0
1hwknl0,3,3.0,0.0,0
1hwknl0,4,4.0,0.0,0
1hwknl0,5,5.0,0.0,0
1hwknl0,6,6.0,0.0,0
1hwknl0,7,7.0,-1.0,0
1hwknl0,8,8.0,1.0,0
1hwknl0,9,9.0,1.0,0
1hwknl0,10,10.0,0.0,0
1hwknl0,11,11.0,0.0,0
1hwknl0,12,12.0,0.0,0
1hwknl0,13,13.0,1.0,0
1hwknl0,14,14.0,1.0,0
1hwknl0,15,15.0,0.0,0
