"14061: Boligøkonomi. Husholdninger, etter statistikkvariabel, inntektsgruppe og år"

"statistikkvariabel";"inntektsgruppe";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Har ikke boliglån (prosent)";"Laveste inntektskvartil";72.7;72.4;70.6;72.5;74.0;72.1;73.5;71.1;71.9;71.7;73.3;72.7;72.0
"Har ikke boliglån (prosent)";"Andre inntektskvartil";44.3;45.9;43.5;45.8;44.8;45.6;46.3;46.9;45.6;45.2;46.4;47.6;49.8
"Har ikke boliglån (prosent)";"Tredje inntektskvartil";31.6;33.3;32.9;30.6;33.1;33.0;34.0;36.3;35.7;33.5;33.7;32.6;34.2
"Har ikke boliglån (prosent)";"Høyeste inntektskvartil";26.1;25.3;27.8;27.5;30.4;30.4;29.6;29.3;29.2;29.0;27.5;27.1;27.2
"Gjenstående boliglån under 1 million (prosent)";"Laveste inntektskvartil";10.9;12.2;15.7;14.5;12.2;10.9;9.7;10.2;9.9;10.2;11.6;9.7;10.9
"Gjenstående boliglån under 1 million (prosent)";"Andre inntektskvartil";27.6;25.2;25.7;21.8;19.5;18.8;16.9;16.4;15.2;14.9;15.8;14.6;12.9
"Gjenstående boliglån under 1 million (prosent)";"Tredje inntektskvartil";27.8;27.6;24.5;24.1;21.4;17.6;16.6;14.6;14.9;13.8;15.2;14.0;13.5
"Gjenstående boliglån under 1 million (prosent)";"Høyeste inntektskvartil";23.4;23.3;20.8;19.3;18.1;16.0;14.5;14.1;14.8;12.9;12.9;12.4;9.8
"Gjenstående boliglån mellom 1 og 2 millioner (prosent)";"Laveste inntektskvartil";7.3;9.5;8.1;7.3;7.7;8.7;7.4;7.4;8.3;7.9;7.7;9.4;9.3
"Gjenstående boliglån mellom 1 og 2 millioner (prosent)";"Andre inntektskvartil";17.3;19.6;19.6;20.8;19.8;18.4;19.5;17.3;17.6;17.8;17.4;17.7;16.2
"Gjenstående boliglån mellom 1 og 2 millioner (prosent)";"Tredje inntektskvartil";24.7;25.1;25.4;24.6;24.3;24.6;23.0;20.9;18.9;20.6;19.2;20.2;19.3
"Gjenstående boliglån mellom 1 og 2 millioner (prosent)";"Høyeste inntektskvartil";23.9;23.7;22.3;22.6;20.9;19.8;19.6;19.1;18.7;17.2;16.6;14.6;15.8
"Gjenstående boliglån mellom 2 og 3 millioner (prosent)";"Laveste inntektskvartil";1.2;1.5;2.4;2.5;1.9;3.2;3.4;4.6;3.7;3.9;4.8;5.8;5.6
"Gjenstående boliglån mellom 2 og 3 millioner (prosent)";"Andre inntektskvartil";4.1;4.4;6.2;6.9;8.4;9.6;9.7;8.9;11.4;11.8;13.3;12.6;12.4
"Gjenstående boliglån mellom 2 og 3 millioner (prosent)";"Tredje inntektskvartil";8.3;7.7;9.9;11.9;11.8;13.6;14.0;14.6;15.4;14.9;17.9;16.7;16.1
