freq,na_item,s_adj,unit,geo\TIME_PERIOD	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 
Q,B1GQ,SCA,MIO_EUR_SCA,AT	105003.0 	105145.6 	107582.7 	111270.0 	113568.9 	114854.1 	119320.8 	119083.6 	119663.7 	120548.2 	121775.0 	122253.6 
Q,B1GQ,SCA,MIO_EUR_SCA,BE	128937.0 	132271.0 	134704.0 p	137665.0 p	139907.0 p	141937.0 p	144888.0 p	145074.0 p	146911.0 p	147825.0 p	149643.0 p	150981.0 p
Q,B1GQ,SCA,MIO_EUR_SCA,BG	18276.2 	18770.4 	19903.3 	20873.1 	21910.1 	23026.4 	23387.3 	23247.3 	23467.5 	24576.0 	25278.3 p	25804.5 p
Q,B1GQ,SCA,MIO_EUR_SCA,CH	175041.5 	181130.3 	187087.5 	192837.5 	204627.0 	203301.1 	202369.2 	204619.4 	209086.9 	211491.7 	215942.8 	212107.0 
Q,B1GQ,SCA,MIO_EUR_SCA,CY	6460.0 	6823.1 	7119.0 	7224.5 	7498.8 	7573.7 	7678.4 	7729.0 	7905.5 	8027.1 	8170.1 	8328.3 
Q,B1GQ,SCA,MIO_EUR_SCA,CZ	63002.6 	64150.5 	68942.1 	70534.2 	72921.6 	74552.2 	79004.5 	80897.3 	79292.8 	78576.9 	78372.1 	80124.9 
Q,B1GQ,SCA,MIO_EUR_SCA,DE	928453.0 p	944587.0 p	962521.0 p	979029.0 p	993638.0 p	1012073.0 p	1029719.0 p	1041192.0 p	1052400.0 p	1063813.0 p	1069813.0 p	1078677.0 p
Q,B1GQ,SCA,MIO_EUR_SCA,DK	87208.0 	91335.8 	91786.2 	95170.5 	98593.7 	96762.3 	95799.7 	93683.2 	92904.8 	94040.7 	95149.8 	96630.8 
Q,B1GQ,SCA,MIO_EUR_SCA,EA	3187247.2 	3246876.8 	3313351.4 	3382569.3 	3445011.7 	3505964.1 	3594359.3 	3635757.4 	3665016.0 	3706721.1 	3742614.9 	3768686.8 
Q,B1GQ,SCA,MIO_EUR_SCA,EA19	3187247.2 	3246876.8 	3313351.4 	3382569.3 	3445011.7 	3505964.1 	3575661.2 	3616380.8 	3645260.4 	3686503.0 	3721830.3 	3747450.2 
