DATAFLOW,LAST UPDATE,freq,na_item,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2021-Q3,105003.0,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2021-Q4,105145.6,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2022-Q1,107582.7,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2022-Q2,111270.0,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2022-Q3,113568.9,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2022-Q4,114854.1,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2023-Q1,119320.8,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2023-Q2,119083.6,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2023-Q3,119663.7,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2023-Q4,120548.2,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2024-Q1,121775.0,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,AT,2024-Q2,122253.6,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,BE,2021-Q3,128937.0,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,BE,2021-Q4,132271.0,
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,BE,2022-Q1,134704.0,p
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,BE,2022-Q2,137665.0,p
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,BE,2022-Q3,139907.0,p
ESTAT:TEINA010(1.0),24/10/24 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,BE,2022-Q4,141937.0,p
