07459: Befolkning, etter region, statistikkvariabel, år og alder;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Personer;;;;;;;;;;;;;;;;;;;;
;2023;;;;;;;;;;;;;;;;;;;;
;0-4 år;5-9 år;10-14 år;15-19 år;20-24 år;25-29 år;30-34 år;35-39 år;40-44 år;45-49 år;50-54 år;55-59 år;60-64 år;65-69 år;70-74 år;75-79 år;80-84 år;85-89 år;90-94 år;95-99 år;100 år eller eldre
K-3001 Halden;1332;1674;1888;1897;1812;1871;2002;1885;1925;2056;2288;2232;2034;1922;1719;1581;818;473;243;67;11
K-3002 Moss;2348;2672;3014;3056;2730;2883;3119;3180;3225;3484;3903;3730;3201;2869;2764;2474;1363;784;337;90;14
K-3003 Sarpsborg;2921;3320;3712;3573;3372;3648;3993;3658;3762;3987;4312;3855;3500;3190;2815;2685;1461;802;373;93;6
K-3004 Fredrikstad;3802;4469;4975;5220;4880;5001;5415;5288;5049;5538;6359;6036;5357;4951;4271;3809;2125;1241;547;105;6
K-3005 Drammen;5060;5672;6184;6430;5758;6505;7335;7280;7076;7249;7574;6547;5778;5197;4539;4451;2442;1409;618;167;20
K-3006 Kongsberg;1247;1591;1871;1789;1630;1611;1828;1882;1918;2042;2000;1943;1674;1575;1517;1317;722;407;177;48;4
K-3007 Ringerike;1376;1526;1808;1795;1722;1833;2071;1889;2021;2116;2252;2187;1989;1990;1800;1465;863;468;211;55;7
K-3011 Hvaler;149;181;243;249;194;158;165;188;258;308;362;401;453;477;403;345;124;72;25;7;0
K-3012 Aremark;49;55;73;62;78;73;56;62;58;91;95;125;103;105;80;73;49;26;11;4;1
K-3013 Marker;152;171;211;171;186;166;215;177;186;220;260;303;258;238;233;234;130;78;38;11;1
K-3014 Indre Østfold;2293;2582;2853;2781;2415;2553;2964;3043;3040;3115;3512;3295;2843;2519;2394;2113;1108;553;299;99;8
K-3015 Skiptvet;171;239;247;258;217;196;239;251;261;270;266;282;228;220;203;176;69;51;34;8;0
K-3016 Rakkestad;386;459;492;489;431;471;520;467;548;575;608;593;570;506;502;367;203;113;57;12;2
K-3017 Råde;406;489;537;502;457;436;494;525;526;587;618;533;494;500;416;378;203;126;72;17;1
K-3018 Våler (Viken);379;423;443;340;228;321;433;519;466;401;446;360;330;308;238;207;124;40;14;3;0
K-3019 Vestby;1101;1250;1314;1258;857;864;1205;1297;1335;1446;1544;1261;953;935;946;838;426;172;69;14;4
K-3020 Nordre Follo;3455;3945;4350;4239;3286;2982;3873;4228;4312;4545;4608;4036;3535;2953;2519;2573;1522;808;374;92;10
K-3021 Ås;1105;1277;1378;1222;1817;1743;1453;1556;1500;1401;1389;1306;1091;845;725;714;426;243;126;30;3
K-3022 Frogn;626;795;1006;1062;795;692;789;824;924;1118;1401;1329;1197;1003;846;851;492;229;97;30;0
K-3023 Nesodden;1104;1382;1425;1268;932;785;1048;1357;1561;1517;1488;1483;1294;1163;949;780;426;220;105;32;3
K-3024 Bærum;7173;8428;8738;8505;6592;5967;7650;9053;9400;9364;9389;8637;7906;6612;5252;4985;2951;1884;1052;296;40
K-3025 Asker;5300;6070;6607;6446;4977;4455;5589;6666;6944;7189;7302;7079;5877;4861;4240;3878;2285;1304;553;148;14
K-3026 Aurskog-Høland;847;998;1101;1086;831;917;1077;1190;1152;1265;1445;1317;1094;957;922;879;470;232;126;34;5
K-3027 Rælingen;1206;1286;1351;1219;1003;1140;1495;1547;1545;1447;1389;1229;1015;836;687;632;337;184;52;17;1
K-3028 Enebakk;541;688;838;781;552;561;706;794;849;939;883;831;630;523;484;435;212;100;37;7;1
K-3029 Lørenskog;2869;2765;2744;2780;2751;3316;3722;3601;3214;3127;3285;2953;2474;2090;1827;1711;876;448;203;39;2
K-3030 Lillestrøm;4781;5541;5873;5857;5306;5673;6524;6598;6618;6667;7040;6159;4781;3970;3307;3220;1932;1078;478;102;10
K-3031 Nittedal;1409;1686;1918;1666;1305;1144;1531;1767;1919;2029;2081;1802;1384;1048;934;909;505;276;103;24;0
K-3032 Gjerdrum;362;399;489;497;394;339;470;439;503;540;646;570;424;320;317;307;141;92;28;8;0
K-3033 Ullensaker;2427;2728;3020;2754;2562;2779;3327;3394;3123;3202;3214;2656;1969;1692;1437;1269;741;381;153;35;3
K-3034 Nes;1305;1513;1493;1384;1214;1313;1707;1807;1584;1695;1801;1724;1472;1315;1183;916;458;247;124;22;6
K-3035 Eidsvoll;1523;1716;1753;1662;1326;1592;2066;2084;2031;1844;1908;1751;1502;1386;1239;1030;540;258;100;27;0
K-3036 Nannestad;966;906;987;979;845;973;1304;1153;1165;1154;1206;995;744;690;532;500;239;112;67;10;3
K-3037 Hurdal;134;166;172;148;133;151;182;186;193;186;230;198;201;191;176;129;77;57;26;7;1
K-3038 Hole;341;448;500;417;275;247;346;461;530;514;524;516;428;402;367;270;152;79;59;11;1
K-3039 Flå;51;44;60;54;60;69;71;58;47;68;79;81;83;61;79;48;41;28;11;4;0
K-3040 Nesbyen;124;133;159;191;169;168;187;168;157;199;269;244;231;252;244;185;103;63;44;9;0
K-3041 Gol;210;217;247;297;272;286;267;283;276;312;373;360;305;272;256;228;160;93;36;16;1
K-3042 Hemsedal;147;142;164;124;126;161;193;229;216;190;214;173;131;121;103;96;49;42;18;5;1
K-3043 Ål;193;229;290;337;300;239;278;243;263;312;368;311;341;333;285;241;133;92;53;17;4
K-3044 Hol;200;208;203;258;226;217;321;309;279;284;288;319;300;322;273;253;140;63;28;11;4
K-3045 Sigdal;127;143;193;222;184;132;165;186;190;236;275;252;263;254;231;203;103;78;27;13;2
K-3046 Krødsherad;88;126;135;121;87;87;137;152;142;145;150;145;181;168;135;100;59;26;24;3;0
K-3047 Modum;667;770;825;837;734;777;920;932;960;918;1022;947;996;960;808;721;377;212;111;30;3
K-3048 Øvre Eiker;1057;1161;1240;1178;1102;1251;1466;1378;1385;1411;1466;1324;1225;1106;989;848;474;257;137;35;5
K-3049 Lier;1529;1706;1870;1780;1363;1385;1806;2017;2086;2044;2107;1958;1674;1410;1224;1121;630;275;141;35;6
K-3050 Flesberg;147;141;145;158;152;141;170;173;148;165;201;175;190;180;153;143;76;41;31;6;1
K-3051 Rollag;48;75;62;61;80;72;65;75;66;83;94;86;108;109;92;73;56;30;24;6;1
K-3052 Nore og Uvdal;86;106;128;151;142;131;130;124;125;155;187;199;172;184;159;134;71;66;29;7;0
K-3053 Jevnaker;342;367;411;405;333;389;426;448;424;441;519;543;457;420;381;336;183;102;51;10;2
K-3054 Lunner;459;516;560;585;437;442;554;610;628;602;768;663;590;596;495;419;203;109;54;15;2
K-0301 Oslo;39135;36068;36274;34515;46866;74670;76283;60322;51478;46496;43565;38364;32519;27169;22916;20295;11013;6313;3467;1080;229
K-3401 Kongsvinger;704;872;1007;1031;896;982;1059;934;959;1105;1381;1304;1215;1229;1191;1044;580;300;139;33;1
K-3403 Hamar;1458;1605;1780;1848;1990;2014;2075;2030;1950;1990;2189;2077;1976;1973;1883;1675;948;511;304;95;11
K-3405 Lillehammer;1302;1411;1595;1712;2176;1820;1899;1602;1645;1734;1894;1837;1771;1706;1466;1354;835;493;231;65;12
K-3407 Gjøvik;1288;1525;1747;1796;2161;1935;1963;1802;1832;2051;2119;2015;1866;1796;1623;1449;859;446;222;62;6
K-3411 Ringsaker;1669;1786;2137;2047;1909;2039;2329;2233;2127;2309;2604;2589;2357;2050;1879;1644;971;502;231;54;9
K-3412 Løten;387;413;471;441;379;423;494;521;488;473;540;540;513;518;444;401;226;114;34;14;2
K-3413 Stange;1061;1297;1247;1185;1081;1160;1350;1397;1345;1334;1493;1487;1363;1337;1175;964;556;329;156;37;2
K-3414 Nord-Odal;152;202;266;276;256;228;268;233;250;311;432;421;356;379;353;303;157;106;54;7;0
K-3415 Sør-Odal;371;358;442;414;395;435;498;457;458;571;645;600;597;538;537;348;201;126;62;14;2
K-3416 Eidskog;216;230;292;294;301;280;282;274;300;378;501;519;508;481;439;342;204;106;65;12;4
K-3417 Grue;138;158;196;250;219;219;231;199;201;279;366;368;358;383;339;321;166;102;61;17;1
K-3418 Åsnes;260;312;330;382;364;338;361;351;371;474;593;555;537;535;544;446;282;148;65;17;2
K-3419 Våler (Innlandet);135;145;173;191;171;140;165;181;162;214;303;297;298;294;273;234;131;78;31;8;1
K-3420 Elverum;977;1150;1253;1394;1316;1326;1402;1278;1224;1383;1566;1437;1264;1285;1192;1043;589;291;163;32;3
K-3421 Trysil;268;286;333;351;307;333;374;341;352;408;527;504;485;422;445;414;229;131;53;18;1
K-3422 Åmot;148;196;216;234;363;295;243;235;179;258;295;290;270;258;284;211;120;74;35;9;0
K-3423 Stor-Elvdal;64;77;103;90;105;120;113;109;114;126;157;186;206;190;179;138;114;69;17;3;1
K-3424 Rendalen;50;57;93;83;85;73;57;69;79;99;125;159;168;148;153;141;71;31;27;1;0
K-3425 Engerdal;54;53;57;70;72;70;59;36;66;76;106;104;110;100;87;103;63;25;12;5;0
K-3426 Tolga;83;87;103;90;87;76;101;86;88;71;103;116;100;116;98;60;51;28;7;4;0
K-3427 Tynset;245;281;396;365;341;309;294;345;327;308;413;355;355;400;324;250;172;92;42;13;1
K-3428 Alvdal;119;163;174;164;149;108;141;151;128;141;166;171;186;151;142;92;79;36;24;8;0
K-3429 Folldal;44;57;88;79;88;54;74;51;87;96;109;110;121;112;121;110;65;33;15;4;1
K-3430 Os;82;63;76;104;110;112;91;79;92;118;147;154;144;120;130;109;55;40;15;3;0
K-3431 Dovre;104;109;115;119;137;112;163;112;119;119;181;178;170;187;190;144;110;60;31;4;2
K-3432 Lesja;82;99;115;137;108;95;91;90;101;123;128;136;136;154;137;98;61;47;22;5;1
K-3433 Skjåk;87;100;86;133;118;87;98;106;126;124;157;151;158;168;155;139;82;46;20;5;1
K-3434 Lom;84;124;102;124;121;111;101;105;128;122;162;149;189;170;145;125;70;53;19;8;0
K-3435 Vågå;157;147;210;201;213;173;169;184;195;229;243;245;254;246;223;194;134;69;35;9;2
K-3436 Nord-Fron;224;268;296;318;327;289;278;272;273;313;439;442;408;342;370;351;203;116;50;9;1
K-3437 Sel;205;259;301;314;334;285;263;259;273;355;427;389;407;419;371;289;212;120;63;20;2
K-3438 Sør-Fron;132;157;220;172;180;161;175;199;166;200;267;247;219;187;200;155;106;56;35;4;2
K-3439 Ringebu;207;198;232;222;199;237;253;266;251;262;324;334;293;277;292;251;159;96;44;18;1
K-3440 Øyer;255;287;271;299;255;287;325;319;293;316;367;396;347;316;294;245;160;77;43;8;1
K-3441 Gausdal;244;282;342;326;331;308;349;355;344;379;496;473;426;385;343;341;204;122;60;17;2
K-3442 Østre Toten;638;787;794;826;798;779;867;881;809;957;1191;1090;1029;912;905;775;460;249;123;26;0
K-3443 Vestre Toten;572;657;763;754;811;857;912;739;743;934;1050;978;836;828;764;696;394;225;101;21;0
K-3446 Gran;496;692;767;845;702;672;734;764;764;934;1037;1072;966;881;780;690;423;229;92;26;2
K-3447 Søndre Land;218;278;260;293;294;281;305;286;303;351;434;470;399;433;362;267;178;104;33;14;1
K-3448 Nordre Land;277;314;369;370;313;351;347;343;337;401;507;539;461;441;413;343;227;115;47;12;0
K-3449 Sør-Aurdal;94;129;154;152;156;141;144;147;143;174;191;246;217;194;199;179;113;56;28;7;2
K-3450 Etnedal;34;52;64;62;74;63;58;54;58;70;114;108;82;83;70;88;52;32;16;5;0
K-3451 Nord-Aurdal;273;316;334;347;359;346;369;332;375;423;445;439;444;416;446;361;187;119;57;13;0
K-3452 Vestre Slidre;82;87;111;137;102;110;122;105;111;130;169;164;176;132;129;103;65;41;10;4;1
K-3453 Øystre Slidre;151;161;182;168;184;165;230;186;193;201;230;268;209;196;201;189;108;48;15;5;1
K-3454 Vang;76;78;113;95;74;81;83;113;106;93;126;109;98;108;97;94;47;22;18;5;0
K-3801 Horten;1153;1447;1661;1677;1544;1501;1730;1663;1671;1803;2056;2020;1801;1640;1460;1412;765;437;202;35;4
K-3802 Holmestrand;1285;1480;1540;1538;1272;1490;1743;1719;1629;1859;1912;1736;1676;1551;1436;1163;654;325;142;50;6
K-3803 Tønsberg;2872;3206;3453;3481;3222;3604;4110;3870;3930;3823;4139;3960;3694;3250;2815;2369;1417;827;432;77;10
K-3804 Sandefjord;3122;3687;3971;4055;3507;3659;4094;4305;4118;4413;4855;4585;4021;3689;3312;2967;1650;985;457;108;14
K-3805 Larvik;2192;2490;2861;2799;2444;2374;2823;3035;3061;3120;3491;3325;3276;3161;2852;2326;1333;780;390;99;14
K-3806 Porsgrunn;1698;1934;2180;2183;2107;2203;2414;2198;2342;2486;2754;2617;2227;2223;1930;1702;996;546;245;63;8
K-3807 Skien;2722;3012;3338;3363;3078;3187;3682;3516;3402;3681;4055;3912;3381;3284;2923;2674;1432;802;370;96;14
K-3808 Notodden;553;694;748;715;736;721;839;779;741;818;862;948;859;890;725;618;422;191;125;36;5
K-3811 Færder;1253;1436;1710;1704;1357;1139;1508;1602;1611;1679;2023;1965;2003;1825;1583;1369;788;456;208;63;4
K-3812 Siljan;119;127;152;129;118;107;158;136;144;165;161;157;169;162;109;120;63;49;23;6;1
K-3813 Bamble;616;718;828;890;789;691;884;830;737;868;1076;1015;955;929;865;794;394;200;73;18;2
K-3814 Kragerø;404;471;580;582;492;484;543;566;590;658;826;740;726;745;734;645;319;197;84;21;6
K-3815 Drangedal;176;198;246;257;247;209;193;217;230;271;318;302;279;274;247;207;115;52;35;16;2
K-3816 Nome;283;363;356;371;365;335;379;336;363;401;491;515;458;447;383;327;200;99;58;25;4
K-3817 Midt-Telemark;488;579;663;642;788;728;678;671;663;663;714;653;594;614;552;500;269;171;84;19;2
K-3818 Tinn;164;213;320;321;296;258;279;278;282;371;459;438;393;410;421;311;163;86;64;17;2
K-3819 Hjartdal;69;89;86;98;84;82;78;88;60;87;127;105;118;102;106;96;52;44;11;6;0
K-3820 Seljord;117;148;196;196;149;133;144;149;180;199;197;206;189;193;214;161;90;47;22;6;3
K-3821 Kviteseid;93;111;126;121;118;111;135;126;133;139;193;221;187;177;154;110;84;58;23;6;1
K-3822 Nissedal;58;86;92;75;63;53;65;77;76;88;119;103;105;112;114;80;34;26;12;4;0
K-3823 Fyresdal;48;57;87;78;53;49;66;63;69;76;97;85;97;96;72;64;36;17;11;3;0
K-3824 Tokke;91;96;132;136;106;113;130;114;101;139;157;159;191;156;132;105;62;44;22;10;2
K-3825 Vinje;183;204;235;206;200;238;225;230;204;221;273;284;241;257;210;197;120;67;27;9;1
K-4201 Risør;261;319;371;396;368;293;341;356;339;473;500;487;494;502;509;393;219;105;63;15;2
K-4202 Grimstad;1296;1468;1640;1609;1825;1715;1645;1523;1501;1636;1676;1513;1296;1168;1080;978;528;323;127;35;5
K-4203 Arendal;2064;2519;2936;2819;2437;2447;2769;2941;2918;3216;3312;3077;2897;2831;2467;2012;1189;674;279;74;13
