"type renter"	"måned"	"Renter"
"Norges Banks foliorente (styringsrenten)"	"2018M10"	0.75
"Norges Banks foliorente (styringsrenten)"	"2018M11"	0.75
"Norges Banks foliorente (styringsrenten)"	"2018M12"	0.75
"Norges Banks foliorente (styringsrenten)"	"2019M01"	0.75
"Norges Banks foliorente (styringsrenten)"	"2019M02"	0.75
"Norges Banks foliorente (styringsrenten)"	"2019M03"	1.00
"Norges Banks foliorente (styringsrenten)"	"2019M04"	1.00
"Norges Banks foliorente (styringsrenten)"	"2019M05"	1.00
"Norges Banks foliorente (styringsrenten)"	"2019M06"	1.25
"Norges Banks foliorente (styringsrenten)"	"2019M07"	1.25
"Norges Banks foliorente (styringsrenten)"	"2019M08"	1.25
"Norges Banks foliorente (styringsrenten)"	"2019M09"	1.50
"Norges Banks foliorente (styringsrenten)"	"2019M10"	1.50
"Norges Banks foliorente (styringsrenten)"	"2019M11"	1.50
"Norges Banks foliorente (styringsrenten)"	"2019M12"	1.50
"Norges Banks foliorente (styringsrenten)"	"2020M01"	1.50
"Norges Banks foliorente (styringsrenten)"	"2020M02"	1.50
"Norges Banks foliorente (styringsrenten)"	"2020M03"	0.25
"Norges Banks foliorente (styringsrenten)"	"2020M04"	0.25
"Norges Banks foliorente (styringsrenten)"	"2020M05"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M06"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M07"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M08"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M09"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M10"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M11"	0.00
"Norges Banks foliorente (styringsrenten)"	"2020M12"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M01"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M02"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M03"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M04"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M05"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M06"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M07"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M08"	0.00
"Norges Banks foliorente (styringsrenten)"	"2021M09"	0.25
"Norges Banks foliorente (styringsrenten)"	"2021M10"	0.25
"Norges Banks foliorente (styringsrenten)"	"2021M11"	0.25
"Norges Banks foliorente (styringsrenten)"	"2021M12"	0.50
"Norges Banks foliorente (styringsrenten)"	"2022M01"	0.50
"Norges Banks foliorente (styringsrenten)"	"2022M02"	0.50
"Norges Banks foliorente (styringsrenten)"	"2022M03"	0.75
"Norges Banks foliorente (styringsrenten)"	"2022M04"	0.75
"Norges Banks foliorente (styringsrenten)"	"2022M05"	0.75
"Norges Banks foliorente (styringsrenten)"	"2022M06"	1.25
"Norges Banks foliorente (styringsrenten)"	"2022M07"	1.25
"Norges Banks foliorente (styringsrenten)"	"2022M08"	1.75
"Norges Banks foliorente (styringsrenten)"	"2022M09"	2.25
"Norges Banks foliorente (styringsrenten)"	"2022M10"	2.25
"Norges Banks foliorente (styringsrenten)"	"2022M11"	2.50
"Norges Banks foliorente (styringsrenten)"	"2022M12"	2.75
"Norges Banks foliorente (styringsrenten)"	"2023M01"	2.75
"Norges Banks foliorente (styringsrenten)"	"2023M02"	2.75
"Norges Banks foliorente (styringsrenten)"	"2023M03"	3.00
"Norges Banks foliorente (styringsrenten)"	"2023M04"	3.00
"Norges Banks foliorente (styringsrenten)"	"2023M05"	3.25
"Norges Banks foliorente (styringsrenten)"	"2023M06"	3.75
"Norges Banks foliorente (styringsrenten)"	"2023M07"	3.75
"Norges Banks foliorente (styringsrenten)"	"2023M08"	4.00
"Norges Banks foliorente (styringsrenten)"	"2023M09"	4.25
