"07199: Spotpris metaller, etter måned og statistikkvariabel"

"måned";"Aluminium (kr per tonn)"
"1990M01";9987.9
"1990M02";9360.1
"1990M03";10287.5
"1990M04";9983.1
"1990M05";9859.3
"1990M06";10139.8
"1990M07";9752.9
"1990M08";10811.5
"1990M09";12295.6
"1990M10";11537.4
"1990M11";9208.9
"1990M12";8854.0
"1991M01";8971.2
"1991M02";8718.8
"1991M03";9333.0
"1991M04";9273.2
"1991M05";8710.4
"1991M06";8960.4
"1991M07";9053.6
"1991M08";8560.9
"1991M09";8083.6
"1991M10";7650.8
"1991M11";7230.6
"1991M12";6730.8
"1992M01";7293.0
"1992M02";8034.0
"1992M03";8313.3
"1992M04";8478.9
"1992M05";8258.6
"1992M06";7825.9
"1992M07";7668.0
"1992M08";7494.7
"1992M09";7381.1
"1992M10";7089.1
"1992M11";7474.6
"1992M12";8051.6
"1993M01";8325.9
"1993M02";8393.3
"1993M03";8037.3
"1993M04";7510.9
"1993M05";7641.6
"1993M06";8034.9
"1993M07";8717.2
"1993M08";8686.7
"1993M09";7914.6
"1993M10";7754.8
"1993M11";7625.2
"1993M12";8086.8
"1994M01";8541.7
"1994M02";9435.1
"1994M03";9477.4
"1994M04";9423.7
"1994M05";9494.5
"1994M06";9868.1
"1994M07";10280.9
"1994M08";9562.0
"1994M09";10672.3
"1994M10";11094.6
"1994M11";12630.9
"1994M12";12739.5
"1995M01";13803.2
"1995M02";12882.7
"1995M03";11149.6
"1995M04";11478.8
"1995M05";11194.7
"1995M06";10947.2
"1995M07";11500.5
"1995M08";11954.6
"1995M09";11240.1
"1995M10";10452.8
"1995M11";10303.9
"1995M12";10519.8
"1996M01";10198.2
"1996M02";10181.6
"1996M03";10360.8
"1996M04";9946.0
"1996M05";10120.8
"1996M06";9716.7
"1996M07";9451.6
"1996M08";9353.7
"1996M09";9115.9
"1996M10";8651.5
"1996M11";8716.7
"1996M12";9664.7
"1997M01";10164.5
"1997M02";10413.1
"1997M03";11158.1
"1997M04";10910.7
"1997M05";11452.4
"1997M06";11267.2
"1997M07";11805.7
"1997M08";13150.8
"1997M09";11739.8
"1997M10";11355.9
"1997M11";11245.6
"1997M12";11076.7
"1998M01";11100.3
"1998M02";10729.5
"1998M03";9664.8
"1998M04";9690.7
"1998M05";9396.3
"1998M06";9302.6
"1998M07";9494.3
"1998M08";8872.6
"1998M09";8756.9
"1998M10";8289.8
"1998M11";8069.2
"1998M12";7971.9
"1999M01";7651.7
"1999M02";7915.7
"1999M03";8224.2
"1999M04";9012.2
"1999M05";9543.8
"1999M06";9453.6
"1999M07";9814.1
"1999M08";9672.2
"1999M09";10059.5
"1999M10";9826.7
"1999M11";9983.6
"1999M12";10335.2
"2000M01";11120.9
"2000M02";11148.6
"2000M03";10755.3
"2000M04";10034.8
"2000M05";10694.5
"2000M06";10345.1
"2000M07";10719.2
"2000M08";10595.3
"2000M09";11166.5
"2000M10";10822.9
"2000M11";10568.4
"2000M12";10697.0
"2001M01";10160.9
"2001M02";11198.7
"2001M03";11344.5
"2001M04";11253.0
"2001M05";11269.8
"2001M06";11142.2
"2001M07";10794.4
"2001M08";10357.8
"2001M09";9977.9
"2001M10";9662.1
"2001M11";9684.1
"2001M12";9676.1
"2002M01";9690.4
"2002M02";10461.8
"2002M03";10973.4
"2002M04";10781.3
"2002M05";9865.6
"2002M06";9519.1
"2002M07";9505.5
"2002M08";9601.5
"2002M09";9303.1
"2002M10";9177.0
"2002M11";9596.8
"2002M12";9544.1
"2003M01";9458.2
"2003M02";10215.2
"2003M03";10568.6
"2003M04";10145.4
"2003M05";9382.1
"2003M06";9495.0
"2003M07";9991.2
"2003M08";10371.6
"2003M09";10130.2
"2003M10";9804.5
"2003M11";9686.9
"2003M12";9693.8
"2004M01";10041.7
"2004M02";10752.5
"2004M03";10865.5
"2004M04";10984.4
"2004M05";10322.3
"2004M06";10479.0
"2004M07";10633.0
"2004M08";10406.4
"2004M09";10519.3
"2004M10";10520.8
"2004M11";10200.8
"2004M12";10231.5
"2005M01";10317.2
"2005M02";10696.8
"2005M03";10609.5
"2005M04";10591.1
"2005M05";9974.9
"2005M06";10041.5
"2005M07";10308.4
"2005M08";10838.6
"2005M09";10199.7
"2005M10";10588.9
"2005M11";11148.3
"2005M12";12694.8
"2006M01";13356.6
"2006M02";15528.2
"2006M03";15575.6
"2006M04";15582.7
"2006M05";15896.6
"2006M06";14372.6
"2006M07";14353.1
"2006M08";13642.6
"2006M09";14187.0
"2006M10";14681.8
"2006M11";14338.8
