"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"HUSHOLDNINGER";"2012K1";34.4;42.0;100.0
"HUSHOLDNINGER";"2012K2";26.1;31.8;100.0
"HUSHOLDNINGER";"2012K3";20.0;24.3;100.0
"HUSHOLDNINGER";"2012K4";30.4;37.1;100.0
"HUSHOLDNINGER";"2013K1";34.9;42.6;100.0
"HUSHOLDNINGER";"2013K2";34.6;42.2;100.0
"HUSHOLDNINGER";"2013K3";33.4;40.6;100.0
"HUSHOLDNINGER";"2013K4";35.6;43.4;100.0
"HUSHOLDNINGER";"2014K1";31.5;38.4;100.0
"HUSHOLDNINGER";"2014K2";26.6;32.5;100.0
"HUSHOLDNINGER";"2014K3";31.6;38.5;100.0
"HUSHOLDNINGER";"2014K4";31.7;38.7;100.0
"HUSHOLDNINGER";"2015K1";31.3;38.1;100.0
"HUSHOLDNINGER";"2015K2";26.0;31.7;100.0
"HUSHOLDNINGER";"2015K3";20.0;24.4;100.0
"HUSHOLDNINGER";"2015K4";25.9;31.6;100.0
"HUSHOLDNINGER";"2016K1";28.7;35.0;100.0
"HUSHOLDNINGER";"2016K2";28.8;35.1;100.0
"HUSHOLDNINGER";"2016K3";30.5;37.2;100.0
"HUSHOLDNINGER";"2016K4";37.6;45.8;100.0
"HUSHOLDNINGER";"2017K1";34.3;41.9;100.0
"HUSHOLDNINGER";"2017K2";33.1;40.4;100.0
"HUSHOLDNINGER";"2017K3";33.3;40.6;100.0
"HUSHOLDNINGER";"2017K4";36.0;43.8;100.0
"HUSHOLDNINGER";"2018K1";42.5;51.8;100.0
"HUSHOLDNINGER";"2018K2";44.6;54.4;100.0
"HUSHOLDNINGER";"2018K3";55.3;67.5;100.0
"HUSHOLDNINGER";"2018K4";54.8;66.9;100.0
"HUSHOLDNINGER";"2019K1";55.2;67.4;100.0
"HUSHOLDNINGER";"2019K2";45.6;55.7;100.0
