"region"	"materiale"	"behandling"	"nedstrømsløsning"	"Mengd (tonn) 2015"	"Mengd (tonn) 2016"	"Mengd (tonn) 2017"	"Mengd (tonn) 2018"	"Mengd (tonn) 2019"	"Mengd (tonn) 2020"	"Mengd (tonn) 2021"	"Mengd (tonn) 2022"	"Mengd (tonn) 2023"	"Mengd (tonn) 2024"
"EAK Landet"	"0 I alt"	"i alt"	"I alt"	2288135.5	2276919.6	2254846.6	2240096.0	2274906.3	2418459.0	2335812.0	2123818.0	2079634.0	1977455.0
"EAK Landet"	"0 I alt"	"i alt"	"Henteordning"	.	.	.	.	.	1266228.0	1266309.0	1198904.0	1146981.0	1073133.0
"EAK Landet"	"0 I alt"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	1152231.0	1069503.0	924914.0	932653.0	904322.0
"EAK Landet"	"0 I alt"	"Materialgjenvinning"	"I alt"	527411.3	535704.4	547123.2	545616.8	561718.4	631840.0	634584.0	586187.0	570586.0	553245.0
"EAK Landet"	"0 I alt"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	316528.0	324945.0	298590.0	276124.0	257344.0
"EAK Landet"	"0 I alt"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	315312.0	309639.0	287597.0	294462.0	295901.0
"EAK Landet"	"0 I alt"	"Forbrenning"	"I alt"	1322783.6	1322482.2	1282927.9	1245144.3	1233566.3	1278844.0	1225980.0	1095301.0	1050310.0	973680.0
"EAK Landet"	"0 I alt"	"Forbrenning"	"Henteordning"	.	.	.	.	.	730702.0	712310.0	673384.0	637537.0	584865.0
"EAK Landet"	"0 I alt"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	548142.0	513670.0	421917.0	412773.0	388815.0
"EAK Landet"	"0 I alt"	"Deponi"	"I alt"	67891.0	64578.9	71617.5	88539.3	99448.7	126055.0	85100.0	72972.0	71263.0	71221.0
"EAK Landet"	"0 I alt"	"Deponi"	"Henteordning"	.	.	.	.	.	2062.0	6827.0	1430.0	4.0	0.0
"EAK Landet"	"0 I alt"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	123993.0	78273.0	71542.0	71259.0	71221.0
"EAK Landet"	"0 I alt"	"Biogassproduksjon"	"I alt"	93538.3	104580.9	108028.7	120089.5	160785.8	157460.0	163792.0	157247.0	170210.0	174986.0
"EAK Landet"	"0 I alt"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	157396.0	163767.0	157224.0	169054.0	174984.0
"EAK Landet"	"0 I alt"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	64.0	25.0	23.0	1156.0	2.0
"EAK Landet"	"0 I alt"	"Kompostering"	"I alt"	245745.0	227495.4	224428.4	225738.6	203892.7	204786.0	211766.0	184764.0	200882.0	190045.0
"EAK Landet"	"0 I alt"	"Kompostering"	"Henteordning"	.	.	.	.	.	49701.0	50107.0	48062.0	54331.0	45779.0
"EAK Landet"	"0 I alt"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	155085.0	161659.0	136702.0	146551.0	144266.0
"EAK Landet"	"0 I alt"	"Annet"	"I alt"	30766.3	22077.8	20720.8	14967.4	15494.4	19474.0	14590.0	27347.0	16383.0	14278.0
"EAK Landet"	"0 I alt"	"Annet"	"Henteordning"	.	.	.	.	.	9839.0	8353.0	20214.0	9931.0	10161.0
"EAK Landet"	"0 I alt"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	9635.0	6237.0	7133.0	6452.0	4117.0
"EAK Landet"	"1 Restavfall"	"i alt"	"I alt"	985822.5	977103.8	943061.2	926351.3	901263.1	958339.0	918937.0	876707.0	850827.0	783477.0
"EAK Landet"	"1 Restavfall"	"i alt"	"Henteordning"	.	.	.	.	.	732198.0	704084.0	674565.0	645624.0	589323.0
"EAK Landet"	"1 Restavfall"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	226141.0	214853.0	202142.0	205203.0	194154.0
"EAK Landet"	"1 Restavfall"	"Materialgjenvinning"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Forbrenning"	"I alt"	958731.3	956287.9	916666.9	904845.2	879968.6	920672.0	898810.0	849309.0	828342.0	761498.0
"EAK Landet"	"1 Restavfall"	"Forbrenning"	"Henteordning"	.	.	.	.	.	722486.0	692008.0	655173.0	636282.0	579474.0
"EAK Landet"	"1 Restavfall"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	198186.0	206802.0	194136.0	192060.0	182024.0
"EAK Landet"	"1 Restavfall"	"Deponi"	"I alt"	22012.6	17747.7	20181.2	16717.0	16477.0	27172.0	11487.0	5391.0	11030.0	11380.0
"EAK Landet"	"1 Restavfall"	"Deponi"	"Henteordning"	.	.	.	.	.	1335.0	4602.0	1336.0	4.0	0.0
"EAK Landet"	"1 Restavfall"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	25837.0	6885.0	4055.0	11026.0	11380.0
"EAK Landet"	"1 Restavfall"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"1 Restavfall"	"Annet"	"I alt"	5078.6	3068.3	6213.1	4789.2	4817.5	10495.0	8640.0	22007.0	11455.0	10599.0
"EAK Landet"	"1 Restavfall"	"Annet"	"Henteordning"	.	.	.	.	.	8377.0	7474.0	18056.0	9338.0	9849.0
"EAK Landet"	"1 Restavfall"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	2118.0	1166.0	3951.0	2117.0	750.0
"EAK Landet"	"2 Utsortert"	"i alt"	"I alt"	1302313.0	1299815.8	1311785.4	1313744.7	1373643.3	1460120.0	1416875.0	1247111.0	1228807.0	1193978.0
"EAK Landet"	"2 Utsortert"	"i alt"	"Henteordning"	.	.	.	.	.	534030.0	562225.0	524339.0	501357.0	483810.0
"EAK Landet"	"2 Utsortert"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	926090.0	854650.0	722772.0	727450.0	710168.0
"EAK Landet"	"2 Utsortert"	"Materialgjenvinning"	"I alt"	527411.3	535704.4	547123.2	545616.8	561718.4	631840.0	634584.0	586187.0	570586.0	553245.0
"EAK Landet"	"2 Utsortert"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	316528.0	324945.0	298590.0	276124.0	257344.0
"EAK Landet"	"2 Utsortert"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	315312.0	309639.0	287597.0	294462.0	295901.0
"EAK Landet"	"2 Utsortert"	"Forbrenning"	"I alt"	364052.3	366194.3	366261.1	340299.1	353597.7	358172.0	327170.0	245992.0	221968.0	212182.0
"EAK Landet"	"2 Utsortert"	"Forbrenning"	"Henteordning"	.	.	.	.	.	8216.0	20302.0	18211.0	1255.0	5391.0
"EAK Landet"	"2 Utsortert"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	349956.0	306868.0	227781.0	220713.0	206791.0
"EAK Landet"	"2 Utsortert"	"Deponi"	"I alt"	45878.4	46831.3	51436.3	71822.4	82971.7	98883.0	73613.0	67581.0	60233.0	59841.0
"EAK Landet"	"2 Utsortert"	"Deponi"	"Henteordning"	.	.	.	.	.	727.0	2225.0	94.0	0.0	0.0
"EAK Landet"	"2 Utsortert"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	98156.0	71388.0	67487.0	60233.0	59841.0
"EAK Landet"	"2 Utsortert"	"Biogassproduksjon"	"I alt"	93538.3	104580.9	108028.7	120089.5	160785.8	157460.0	163792.0	157247.0	170210.0	174986.0
"EAK Landet"	"2 Utsortert"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	157396.0	163767.0	157224.0	169054.0	174984.0
"EAK Landet"	"2 Utsortert"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	64.0	25.0	23.0	1156.0	2.0
"EAK Landet"	"2 Utsortert"	"Kompostering"	"I alt"	245745.0	227495.4	224428.4	225738.6	203892.7	204786.0	211766.0	184764.0	200882.0	190045.0
"EAK Landet"	"2 Utsortert"	"Kompostering"	"Henteordning"	.	.	.	.	.	49701.0	50107.0	48062.0	54331.0	45779.0
"EAK Landet"	"2 Utsortert"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	155085.0	161659.0	136702.0	146551.0	144266.0
"EAK Landet"	"2 Utsortert"	"Annet"	"I alt"	25687.7	19009.5	14507.8	10178.2	10676.9	8979.0	5950.0	5340.0	4928.0	3679.0
"EAK Landet"	"2 Utsortert"	"Annet"	"Henteordning"	.	.	.	.	.	1462.0	879.0	2158.0	593.0	312.0
"EAK Landet"	"2 Utsortert"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	7517.0	5071.0	3182.0	4335.0	3367.0
"EAK Landet"	"2.01 Papp"	"i alt"	"I alt"	269711.7	259955.0	251314.0	238896.8	232063.2	231706.0	222262.0	204087.0	190576.0	173400.0
"EAK Landet"	"2.01 Papp"	"i alt"	"Henteordning"	.	.	.	.	.	196172.0	186935.0	171614.0	157817.0	142085.0
"EAK Landet"	"2.01 Papp"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	35534.0	35327.0	32473.0	32759.0	31315.0
"EAK Landet"	"2.01 Papp"	"Materialgjenvinning"	"I alt"	267824.7	258185.7	249634.2	237931.3	231139.8	230093.0	221241.0	202610.0	189704.0	171801.0
"EAK Landet"	"2.01 Papp"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	194632.0	186014.0	170229.0	156958.0	141002.0
"EAK Landet"	"2.01 Papp"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	35461.0	35227.0	32381.0	32746.0	30799.0
"EAK Landet"	"2.01 Papp"	"Forbrenning"	"I alt"	1887.0	1501.0	1370.0	785.3	646.0	1274.0	912.0	818.0	872.0	1584.0
"EAK Landet"	"2.01 Papp"	"Forbrenning"	"Henteordning"	.	.	.	.	.	1211.0	855.0	726.0	859.0	1068.0
"EAK Landet"	"2.01 Papp"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	63.0	57.0	92.0	13.0	516.0
"EAK Landet"	"2.01 Papp"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.01 Papp"	"Annet"	"I alt"	0.0	268.3	309.8	180.3	277.4	339.0	109.0	659.0	0.0	15.0
"EAK Landet"	"2.01 Papp"	"Annet"	"Henteordning"	.	.	.	.	.	329.0	66.0	659.0	0.0	15.0
"EAK Landet"	"2.01 Papp"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	10.0	43.0	0.0	0.0	0.0
"EAK Landet"	"2.02 Glass"	"i alt"	"I alt"	60125.3	62611.3	65685.2	70274.0	73789.6	71321.0	81835.0	79104.0	76117.0	73505.0
"EAK Landet"	"2.02 Glass"	"i alt"	"Henteordning"	.	.	.	.	.	64773.0	75759.0	75473.0	71804.0	70114.0
"EAK Landet"	"2.02 Glass"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	6548.0	6076.0	3631.0	4313.0	3391.0
"EAK Landet"	"2.02 Glass"	"Materialgjenvinning"	"I alt"	59750.3	62251.0	65559.5	70224.0	73717.2	70830.0	81547.0	78502.0	76039.0	73263.0
"EAK Landet"	"2.02 Glass"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	64579.0	75641.0	75040.0	71736.0	69872.0
"EAK Landet"	"2.02 Glass"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	6251.0	5906.0	3462.0	4303.0	3391.0
"EAK Landet"	"2.02 Glass"	"Forbrenning"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Forbrenning"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.02 Glass"	"Annet"	"I alt"	375.1	360.3	125.7	50.1	72.4	491.0	288.0	602.0	78.0	242.0
"EAK Landet"	"2.02 Glass"	"Annet"	"Henteordning"	.	.	.	.	.	194.0	118.0	433.0	68.0	242.0
"EAK Landet"	"2.02 Glass"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	297.0	170.0	169.0	10.0	0.0
"EAK Landet"	"2.03 Plast"	"i alt"	"I alt"	37437.1	39806.3	43874.1	46000.9	51441.6	57366.0	61437.0	52118.0	50199.0	48796.0
"EAK Landet"	"2.03 Plast"	"i alt"	"Henteordning"	.	.	.	.	.	45572.0	48422.0	41793.0	37505.0	36161.0
"EAK Landet"	"2.03 Plast"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	11794.0	13015.0	10325.0	12694.0	12635.0
"EAK Landet"	"2.03 Plast"	"Materialgjenvinning"	"I alt"	35821.1	38351.2	42516.8	44915.0	46654.6	52571.0	55483.0	48572.0	49349.0	47662.0
"EAK Landet"	"2.03 Plast"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	43036.0	43616.0	39226.0	37382.0	35758.0
"EAK Landet"	"2.03 Plast"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	9535.0	11867.0	9346.0	11967.0	11904.0
"EAK Landet"	"2.03 Plast"	"Forbrenning"	"I alt"	1562.0	1374.9	1310.9	1052.5	4064.0	4639.0	5882.0	3416.0	826.0	1106.0
"EAK Landet"	"2.03 Plast"	"Forbrenning"	"Henteordning"	.	.	.	.	.	2482.0	4734.0	2455.0	123.0	397.0
"EAK Landet"	"2.03 Plast"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	2157.0	1148.0	961.0	703.0	709.0
"EAK Landet"	"2.03 Plast"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Annet"	"I alt"	54.0	80.3	46.3	33.4	723.1	156.0	72.0	130.0	24.0	28.0
"EAK Landet"	"2.03 Plast"	"Annet"	"Henteordning"	.	.	.	.	.	54.0	72.0	112.0	0.0	6.0
"EAK Landet"	"2.03 Plast"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	102.0	0.0	18.0	24.0	22.0
"EAK Landet"	"2.04 Metaller"	"i alt"	"I alt"	84388.6	89561.2	91279.1	95985.5	100312.8	109633.0	101206.0	89277.0	85655.0	85514.0
"EAK Landet"	"2.04 Metaller"	"i alt"	"Henteordning"	.	.	.	.	.	11830.0	12333.0	11363.0	8796.0	8947.0
