"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Arbeidsstyrken (1000 personer)";2448
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Sysselsatte (1000 personer)";2345
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1787
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Arbeidsledige (1000 personer)";103
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Arbeidsledige i prosent av arbeidsstyrken";4,2
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M01";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Arbeidsstyrken (1000 personer)";2449
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Sysselsatte (1000 personer)";2349
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1794
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Arbeidsledige (1000 personer)";100
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Arbeidsledige i prosent av arbeidsstyrken";4,1
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M02";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Arbeidsstyrken (1000 personer)";2451
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Sysselsatte (1000 personer)";2353
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1799
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Arbeidsledige (1000 personer)";98
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Arbeidsledige i prosent av arbeidsstyrken";4
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M03";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Arbeidsstyrken (1000 personer)";2454
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Sysselsatte (1000 personer)";2359
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1805
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Arbeidsledige (1000 personer)";95
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Arbeidsledige i prosent av arbeidsstyrken";3,9
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M04";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Arbeidsstyrken (1000 personer)";2458
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Sysselsatte (1000 personer)";2365
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1811
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Arbeidsledige (1000 personer)";93
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Arbeidsledige i prosent av arbeidsstyrken";3,8
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M05";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Arbeidsstyrken (1000 personer)";2463
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Sysselsatte (1000 personer)";2372
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1818
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Arbeidsledige (1000 personer)";91
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Arbeidsledige i prosent av arbeidsstyrken";3,7
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M06";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Arbeidsstyrken (1000 personer)";2469
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Sysselsatte (1000 personer)";2380
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1825
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Arbeidsledige (1000 personer)";89
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Arbeidsstyrken i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Sysselsatte i prosent av befolkningen";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Arbeidsledige i prosent av arbeidsstyrken";3,6
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M07";"Befolkningen (1000 personer)";..
"0 Begge kjønn";"15-74 15-74 år";"T Trend";"2006M08";"Arbeidsstyrken (1000 personer)";2474
